suite_label,rule_label,budget_ratio,accept_rate,delta_loss,delta_acc,delta_tail
Camelyon17 ERM,Proxy-only,1.1,1.0,0.05531463038955373,0.0009852564253297613,5.501472663879394
Camelyon17 ERM,1.10x budget,1.1,0.0,0.0,0.0,0.0
Camelyon17 ERM,1.25x budget,1.25,0.7,0.025846197049562303,-0.0016166200296282352,2.51318473815918
Camelyon17 ERM,1.50x budget,1.5,1.0,0.05182915120517902,0.0014014626002304188,5.324184441566467
Camelyon17 Finetune,Proxy-only,1.1,1.0,0.6185242155409866,0.02510875443835684,6.2263586044311525
Camelyon17 Finetune,1.10x budget,1.1,0.09999999999999998,0.0,0.0,-0.15596387386322022
Camelyon17 Finetune,1.25x budget,1.25,0.4,0.06794714215657438,0.009692665835821967,0.45952452421188356
Camelyon17 Finetune,1.50x budget,1.5,0.7,0.3177693440326916,0.00043736920074308736,1.9922512531280518
