suite_label,budget_ratio,metric,n,mean,ci_low,ci_high
Camelyon17 ERM,1.1,heldout_loss_reduction,10,0.05531463038955373,0.045754104843532116,0.06615375990547383
Camelyon17 ERM,1.1,tail_reduction,10,5.501472663879394,5.001142546236515,6.02189253360033
Camelyon17 ERM,1.1,accuracy_change,10,-0.0009852564253297613,-0.0024655219037317353,0.0007478778187975171
Camelyon17 ERM,1.1,proxy_metric_change,10,0.22406125082039954,0.2190963289077056,0.22822154707201622
Camelyon17 ERM,1.1,accuracy_vs_baseline,10,0.0,0.0,0.0
Camelyon17 ERM,1.25,heldout_loss_reduction,10,0.02946843333999143,0.01634334449987888,0.04426076432424321
Camelyon17 ERM,1.25,tail_reduction,10,2.988287925720214,1.8730917167663574,4.209405422210692
Camelyon17 ERM,1.25,accuracy_change,10,-0.0026018764549579966,-0.00437613163402068,-0.0007087850071719221
Camelyon17 ERM,1.25,proxy_metric_change,10,0.07463305799507838,0.01340251398038263,0.13818991687184382
Camelyon17 ERM,1.25,accuracy_vs_baseline,10,-0.0016166200296282352,-0.003021609800832393,-0.0002832318291909306
Camelyon17 ERM,1.5,heldout_loss_reduction,10,0.003485479184374712,0.0,0.010456437553124137
Camelyon17 ERM,1.5,tail_reduction,10,0.17728822231292723,0.0,0.5318646669387818
Camelyon17 ERM,1.5,accuracy_change,10,0.00041620617490065734,0.0,0.0012486185247019721
Camelyon17 ERM,1.5,proxy_metric_change,10,0.00024673223724320793,0.0,0.0007401967117296237
Camelyon17 ERM,1.5,accuracy_vs_baseline,10,0.0014014626002304188,-4.94979659980951e-05,0.002642027417875689
Camelyon17 Finetune,1.1,heldout_loss_reduction,9,0.6263638311628315,0.3104188442276252,0.9560944885034222
Camelyon17 Finetune,1.1,tail_reduction,10,6.382322478294372,3.7119112968444825,9.170713837146758
Camelyon17 Finetune,1.1,accuracy_change,9,-0.024149363933501103,-0.07357632928623126,0.027292661132927235
Camelyon17 Finetune,1.1,proxy_metric_change,10,0.5332452774032124,0.41094965511752846,0.6254756164209538
Camelyon17 Finetune,1.1,accuracy_vs_baseline,9,0.0,0.0,0.0
Camelyon17 Finetune,1.25,heldout_loss_reduction,10,0.5505770733844122,0.2598890821926616,0.872623696695933
Camelyon17 Finetune,1.25,tail_reduction,10,5.766834080219269,2.6842688977718354,8.878561030328255
Camelyon17 Finetune,1.25,accuracy_change,10,-0.015416088602534872,-0.05677075740118044,0.027482540503679986
Camelyon17 Finetune,1.25,proxy_metric_change,10,0.34922487461450535,0.1714740262433013,0.5188419860973884
Camelyon17 Finetune,1.25,accuracy_vs_baseline,10,0.009692665835821967,-0.01303642391892208,0.04168528229125029
Camelyon17 Finetune,1.5,heldout_loss_reduction,10,0.300754871508295,0.060919361658599236,0.5804831499355309
Camelyon17 Finetune,1.5,tail_reduction,10,4.2341073513031,1.036270022392273,7.8128718090057285
Camelyon17 Finetune,1.5,accuracy_change,10,-0.024671385237613752,-0.05815952218590541,0.005659933689185692
Camelyon17 Finetune,1.5,proxy_metric_change,10,0.155185335103514,0.024570756649555436,0.30917428920468526
Camelyon17 Finetune,1.5,accuracy_vs_baseline,10,0.00043736920074308736,-0.036419216027464875,0.037915912243986195
