point,val_overall_loss,proxy_metric,epoch_mean
Baseline selected,0.37944597389716656,0.5583610556330133,21.2
P95 proxy-selected,0.6988707789854146,0.3906318636667441,22.5
P95 guardrail,0.37944597389716656,0.5583610556330133,21.2
