suite,point,acc,loss,tail
Camelyon17 ERM,Baseline,0.9189115150375056,0.2111127794472336,5.78114
Camelyon17 ERM,Proxy-only P95,0.9198967714628352,0.2664274098367872,11.305657
Camelyon17 ERM,Guardrail P95,0.9175600659128772,0.2311883209104073,7.714358604871309
Camelyon17 ERM,Fixed P95,0.9204011569120796,0.2866714218214136,11.215278
Camelyon17 Finetune,Baseline,0.6831730430079713,0.9018251368737656,7.105897
Camelyon17 Finetune,Proxy-only P95,0.7082817974463282,1.5203493524147524,12.553443
Camelyon17 Finetune,Guardrail P95,0.694067422182564,0.9542427751823512,7.72084359118813
Camelyon17 Finetune,Fixed P95,0.7282820325910597,2.0553998105568434,281.878738
