panel,trajectory_type,epoch,val_overall_loss,proxy_metric
Camelyon17 ERM,baseline,1,0.25756042113938965,0.8941154675225738
Camelyon17 ERM,baseline,2,0.24055275864945874,0.83010807674979
Camelyon17 ERM,baseline,3,0.23696010967784095,0.7957442637593035
Camelyon17 ERM,baseline,4,0.2372989643142696,0.7748012817008667
Camelyon17 ERM,baseline,5,0.2395515223970232,0.7835997988876475
Camelyon17 ERM,baseline,6,0.24042658773829198,0.7828474266738981
Camelyon17 ERM,baseline,7,0.24120346793295638,0.783392639622613
Camelyon17 ERM,baseline,8,0.24375226600588834,0.799593192340746
Camelyon17 ERM,baseline,9,0.24568959580189714,0.8173083199592688
Camelyon17 ERM,baseline,10,0.24706600196676046,0.8339494633217972
Camelyon17 ERM,baseline,11,0.24802560340049462,0.8418529735888125
Camelyon17 ERM,baseline,12,0.2498955518428326,0.8525172333859949
Camelyon17 ERM,baseline,13,0.2524387852160387,0.8740904658872595
Camelyon17 ERM,baseline,14,0.2530718662834311,0.8828863654013283
Camelyon17 ERM,baseline,15,0.25505809618495556,0.8862651343527501
Camelyon17 ERM,baseline,16,0.2561408113164422,0.8985546686552386
Camelyon17 ERM,baseline,17,0.2566301457060845,0.9010648320164651
Camelyon17 ERM,baseline,18,0.25948039507595605,0.9223455247365099
Camelyon17 ERM,baseline,19,0.26000181063960254,0.916557672402511
Camelyon17 ERM,baseline,20,0.25916718229341046,0.921355344890066
Camelyon17 ERM,baseline,21,0.261794171642482,0.9287282640547041
Camelyon17 ERM,baseline,22,0.26402561835513944,0.9501480345469048
Camelyon17 ERM,baseline,23,0.2637216172040314,0.9472120455961914
Camelyon17 ERM,baseline,24,0.2622333704037546,0.9319526695408007
Camelyon17 ERM,baseline,25,0.26404112892304943,0.9525634167486581
Camelyon17 ERM,baseline,26,0.2635720334863306,0.952757489542647
Camelyon17 ERM,baseline,27,0.26652732862477746,0.9703984020535223
Camelyon17 ERM,baseline,28,0.2678361245707064,0.975143148931925
Camelyon17 ERM,baseline,29,0.2683551256746735,0.9788456698333825
Camelyon17 ERM,baseline,30,0.2686325127940453,0.9745422708475461
Camelyon17 Finetune,baseline,1,0.2496090019404888,0.9878037585304978
Camelyon17 Finetune,baseline,2,0.2605799917012453,1.0721439980050569
Camelyon17 Finetune,baseline,3,0.2952961562544107,1.2136682732899984
Camelyon17 Finetune,baseline,4,0.27951549488306043,1.2538545097392653
Camelyon17 Finetune,baseline,5,0.3136131090283394,1.4626063472449866
Camelyon17 Finetune,baseline,6,0.3365655631512403,1.485913048345115
Camelyon17 Finetune,baseline,7,0.530061259791255,3.4774427219083712
Camelyon17 Finetune,baseline,8,1.1841535943239927,12.913723501668823
Camelyon17 Finetune,baseline,9,0.9275654978603125,6.034899804904576
Camelyon17 Finetune,baseline,10,1.1606615418314934,20.45083276918819
Camelyon17 ERM,distorted,1,0.25756042113938965,0.5751579857540932
Camelyon17 ERM,distorted,2,0.24055275864945874,0.5743995020596631
Camelyon17 ERM,distorted,3,0.23696010967784095,0.5801265863676255
Camelyon17 ERM,distorted,4,0.2372989643142696,0.5881980470366825
Camelyon17 ERM,distorted,5,0.2395515223970232,0.6003305609308807
Camelyon17 ERM,distorted,6,0.24042658773829198,0.6070134620387181
Camelyon17 ERM,distorted,7,0.24120346793295638,0.6124195626276286
Camelyon17 ERM,distorted,8,0.24375226600588834,0.6183717926382419
Camelyon17 ERM,distorted,9,0.24568959580189714,0.623071104185829
Camelyon17 ERM,distorted,10,0.24706600196676046,0.6228258657500896
Camelyon17 ERM,distorted,11,0.24802560340049462,0.6239275672537306
Camelyon17 ERM,distorted,12,0.2498955518428326,0.6254437975253275
Camelyon17 ERM,distorted,13,0.2524387852160387,0.6235294491149423
Camelyon17 ERM,distorted,14,0.2530718662834311,0.6214864309815322
Camelyon17 ERM,distorted,15,0.25505809618495556,0.6198478917930041
Camelyon17 ERM,distorted,16,0.2561408113164422,0.6155793794238198
Camelyon17 ERM,distorted,17,0.2566301457060845,0.6122763863539389
Camelyon17 ERM,distorted,18,0.25948039507595605,0.6124491552034114
Camelyon17 ERM,distorted,19,0.26000181063960254,0.6065643691145203
Camelyon17 ERM,distorted,20,0.25916718229341046,0.6070782800749864
Camelyon17 ERM,distorted,21,0.261794171642482,0.6016724661019991
Camelyon17 ERM,distorted,22,0.26402561835513944,0.6030032257464307
Camelyon17 ERM,distorted,23,0.2637216172040314,0.597693098741704
Camelyon17 ERM,distorted,24,0.2622333704037546,0.5966698899775404
Camelyon17 ERM,distorted,25,0.26404112892304943,0.592656571605443
Camelyon17 ERM,distorted,26,0.2635720334863306,0.5920568614332518
Camelyon17 ERM,distorted,27,0.26652732862477746,0.5909085859492715
Camelyon17 ERM,distorted,28,0.2678361245707064,0.5890774423798937
Camelyon17 ERM,distorted,29,0.2683551256746735,0.5870323167541198
Camelyon17 ERM,distorted,30,0.2686325127940453,0.5845407073068973
Camelyon17 Finetune,distorted,1,0.34137459378838536,0.37467399680010316
Camelyon17 Finetune,distorted,2,0.3808261664658784,0.37403153694353447
Camelyon17 Finetune,distorted,3,0.5318293095946311,0.41232179225071286
Camelyon17 Finetune,distorted,4,0.8700337009280921,1.031720223843242
Camelyon17 Finetune,distorted,5,0.5431986379295587,0.4000711892372871
Camelyon17 Finetune,distorted,6,0.6205149699360132,0.7583398609713871
Camelyon17 Finetune,distorted,7,0.7978873579889536,0.9586772850521941
Camelyon17 Finetune,distorted,8,0.7843481461107731,0.9163430541609261
Camelyon17 Finetune,distorted,9,1.0886395248681306,1.028750961727339
Camelyon17 Finetune,distorted,10,4.648306319472193,13.207386620374859
