regime,trajectory_type,epoch,val_overall_loss,proxy_metric
erm,baseline,1,0.43394414169043305,0.6353535897837675
erm,baseline,2,0.4149047248004004,0.6166548881373032
erm,baseline,3,0.40654560880940405,0.605724783697773
erm,baseline,4,0.40377309838943176,0.6056489592110775
erm,baseline,5,0.40431306149773294,0.6079863160292739
erm,baseline,6,0.39865799550916997,0.5962517618368527
erm,baseline,7,0.3978584559008479,0.5973990086395626
erm,baseline,8,0.4010859194118529,0.602974110881598
erm,baseline,9,0.3976082354944199,0.597378639576092
erm,baseline,10,0.39043733946066345,0.5822523831518488
erm,baseline,11,0.3974484678285196,0.5963395814456154
erm,baseline,12,0.39135536231352014,0.5843951703103831
erm,baseline,13,0.3985751444883644,0.6001273023692708
erm,baseline,14,0.3951175131591037,0.5928106492028499
erm,baseline,15,0.3965098263333552,0.5950488996885759
erm,baseline,16,0.39709578980039806,0.5974855428018822
erm,baseline,17,0.397750505751837,0.5981470151771566
erm,baseline,18,0.39262709422055625,0.5877027337669374
erm,baseline,19,0.3967429592358879,0.5960563985299869
erm,baseline,20,0.3916018699798733,0.5853708967408038
erm,baseline,21,0.38988989736940705,0.5816688694265578
erm,baseline,22,0.39328602053737266,0.5889539378808336
erm,baseline,23,0.39350669403560457,0.589143430373511
erm,baseline,24,0.39107057324154304,0.5851140461055964
erm,baseline,25,0.39288244617329904,0.5876876296036537
erm,baseline,26,0.3935093936878256,0.5910203205850538
erm,baseline,27,0.39075313714779913,0.583767851682109
erm,baseline,28,0.3916309360012412,0.5842589691712997
erm,baseline,29,0.3939087391706183,0.5898211395969588
erm,baseline,30,0.3947426345218904,0.5929897081950084
erm_softclip_p95_a10,distorted,1,0.883464379966259,0.4097622215358129
erm_softclip_p95_a10,distorted,2,0.8272344497352838,0.4028376690003842
erm_softclip_p95_a10,distorted,3,0.8063940241068602,0.4010491598091244
erm_softclip_p95_a10,distorted,4,0.7954626907154918,0.4005884990267191
erm_softclip_p95_a10,distorted,5,0.7845132881850004,0.3995191834877499
erm_softclip_p95_a10,distorted,6,0.7810582864284515,0.3990893390111339
erm_softclip_p95_a10,distorted,7,0.7741097504928709,0.39874286748517995
erm_softclip_p95_a10,distorted,8,0.7650272078327834,0.3975938703819064
erm_softclip_p95_a10,distorted,9,0.7569611037775874,0.3970928928034818
erm_softclip_p95_a10,distorted,10,0.7578325959980488,0.39745304136307247
erm_softclip_p95_a10,distorted,11,0.7649920166064054,0.39828804466284173
erm_softclip_p95_a10,distorted,12,0.7503186917778104,0.39645917789575974
erm_softclip_p95_a10,distorted,13,0.7530691386085004,0.39697182055673713
erm_softclip_p95_a10,distorted,14,0.7536417751517147,0.3973433595068651
erm_softclip_p95_a10,distorted,15,0.74477128673587,0.3961430561164963
erm_softclip_p95_a10,distorted,16,0.7413358055774123,0.39589376388916586
erm_softclip_p95_a10,distorted,17,0.7516836113132537,0.3971749375079466
erm_softclip_p95_a10,distorted,18,0.7465457504820078,0.3963946749957182
erm_softclip_p95_a10,distorted,19,0.7472026959316805,0.39656959870314135
erm_softclip_p95_a10,distorted,20,0.740872791968286,0.39597426710214434
erm_softclip_p95_a10,distorted,21,0.7400520741351879,0.39575654100129587
erm_softclip_p95_a10,distorted,22,0.7302000976039097,0.3947192229066085
erm_softclip_p95_a10,distorted,23,0.7410740205683746,0.3957533174371165
erm_softclip_p95_a10,distorted,24,0.7499735819212161,0.39715620173250704
erm_softclip_p95_a10,distorted,25,0.7487270409872755,0.39669467857523044
erm_softclip_p95_a10,distorted,26,0.7625948539070786,0.39883750203849433
erm_softclip_p95_a10,distorted,27,0.7476098269406706,0.39700574702174163
erm_softclip_p95_a10,distorted,28,0.7422888748440891,0.3958441266308407
erm_softclip_p95_a10,distorted,29,0.7400233248661272,0.39557215806232093
erm_softclip_p95_a10,distorted,30,0.7467219798240811,0.3967818270920606
