regime,seed,epoch,frac_clipped_train,frac_clipped_val,proxy_worst_loss,proxy_worst_loss_clip,proxy_worst_acc,val_overall_acc,val_overall_loss,oracle_wg_acc,tail_within_cvar,tail_worst_cvar,tail_worst_loss
erm,0,5,,,0.7606988546508615,,0.3895405669599218,0.907,0.2367297864091579,0.9056994818652848,0.3495932537495783,5.769129395484924,4.086228648200631
erm,1,6,,,0.7675120773815339,,0.4369501466275659,0.9085,0.2381419170456062,0.9082125603864736,0.33388903877090803,5.833758115768433,4.130028296262026
erm,2,5,,,0.7813352214232567,,0.46774193548387094,0.908,0.2418289505483668,0.9046632124352332,0.3658140266740162,5.903249621391296,4.1720202676951885
erm,3,4,,,0.7661036757546553,,0.4193548387096774,0.9075,0.2354856098040461,0.9015544041450776,0.3713023806719111,5.544679284095764,3.911527846008539
erm,4,5,,,0.770088273703411,,0.3709677419354839,0.9065,0.2373238833539832,0.9046632124352332,0.35312163801516644,5.784537076950073,4.074474943801761
erm,5,8,,,0.7642767304935122,,0.46774193548387094,0.9115,0.2426199209020804,0.9067357512953368,0.3268761581458769,6.143407940864563,4.4293401055037975
erm,6,4,,,0.766048548741308,,0.37438905180840665,0.9045,0.2340436412429113,0.9015544041450776,0.36535627692982564,5.472710490226746,3.858810927718878
erm,7,5,,,0.7606057043758131,,0.4032258064516129,0.9095,0.2371885478270825,0.9015544041450776,0.3568245226664087,5.799160718917847,4.127835664898157
erm,8,6,,,0.7702622462905222,,0.4369501466275659,0.909,0.2363274751983838,0.9088082901554404,0.33053664444983316,5.787504315376282,4.149298492819071
erm,9,7,,,0.7517789807210686,,0.4032258064516129,0.9115,0.2386477065822012,0.9036269430051812,0.32923991599221947,6.003708124160767,4.332524672150612
erm_softclip_p95_a10_cam,0,11,0.03615640995119629,0.0885,1.1608353470354493,0.5426662073907755,0.5161290322580645,0.913,0.3129881951833019,0.8994818652849741,0.5290680320687844,10.878360271453856,7.600602559745312
erm_softclip_p95_a10_cam,1,12,0.03574640585115529,0.0875,1.2143700942597402,0.5445718264556518,0.5,0.9135,0.3153247772513065,0.9046632124352332,0.513473540183389,10.816555738449097,7.677300568670034
erm_softclip_p95_a10_cam,2,24,0.03246637305082728,0.0865,1.4806471655683708,0.5459978261722458,0.532258064516129,0.914,0.3432509692522442,0.9072463768115944,0.518688657613037,12.00706911087036,8.525671683251858
erm_softclip_p95_a10_cam,3,10,0.036870610641590286,0.0915,1.1957538854626195,0.5378474341929944,0.4838709677419355,0.9115,0.3069219958588634,0.9015544041450776,0.5304129404162983,10.468909978866575,7.260334216058254
erm_softclip_p95_a10_cam,4,25,0.03217540239918528,0.091,1.5520973684797903,0.5432619075556908,0.5161290322580645,0.912,0.3537896082304915,0.9014492753623188,0.5355134435868499,12.32553482055664,8.780066944658756
erm_softclip_p95_a10_cam,5,10,0.037002870028700285,0.0865,1.1159289246172173,0.5370119866275216,0.5161290322580645,0.914,0.3050747612426779,0.900518134715026,0.5324114051750481,10.396838426589966,7.280138958245516
erm_softclip_p95_a10_cam,6,10,0.036811093917390784,0.0875,1.1273938085918904,0.5398611874761318,0.5161290322580645,0.9145,0.305116647715009,0.9025906735751296,0.5283112046245081,10.486512660980225,7.24113230779767
erm_softclip_p95_a10_cam,7,28,0.03182491502334378,0.089,1.5830019804808657,0.5394807639319459,0.532258064516129,0.9135,0.3579067971128268,0.9033816425120772,0.5396593322131911,12.607523679733276,8.943758361041546
erm_softclip_p95_a10_cam,8,11,0.036328347154439285,0.0905,1.2190843566594975,0.54175431472819,0.4838709677419355,0.913,0.3109862712125626,0.9056994818652848,0.5221233407478691,10.676326036453249,7.434251397848129
