config,seed,epoch,val_proxy,val_mse_raw,test_mse_raw,test_tail_mse,pearson_r
baseline,0,1,0.4555876851081848,0.4555876851081848,0.4344432055950165,3.672617197036743,0.5899001781966673
baseline,0,2,0.4494158923625946,0.4494158923625946,0.4308835566043854,3.658446788787842,0.5915652523774305
baseline,0,3,0.4520576298236847,0.4520576298236847,0.4318189024925232,3.6375653743743896,0.5987845887402136
baseline,0,4,0.44498416781425476,0.44498416781425476,0.4225866198539734,3.570707321166992,0.6052399132833801
baseline,0,5,0.4553620219230652,0.4553620219230652,0.4311649799346924,3.6429810523986816,0.606038256546469
baseline,0,6,0.43876782059669495,0.43876782059669495,0.41515764594078064,3.524754047393799,0.610635006692591
baseline,0,7,0.4343711733818054,0.4343711733818054,0.41220659017562866,3.544375419616699,0.6119122653990344
baseline,0,8,0.4369634687900543,0.4369634687900543,0.41635990142822266,3.527374744415283,0.6107463364395807
baseline,0,9,0.43654197454452515,0.43654197454452515,0.41147470474243164,3.5294454097747803,0.6149182675568358
baseline,0,10,0.45953893661499023,0.45953893661499023,0.4357144236564636,3.609560489654541,0.6129796370662657
baseline,0,11,0.4373014569282532,0.4373014569282532,0.41747066378593445,3.5355868339538574,0.6141245380211838
baseline,0,12,0.4419595003128052,0.4419595003128052,0.4179619550704956,3.49312162399292,0.6175105776506835
baseline,0,13,0.4343017339706421,0.4343017339706421,0.41119611263275146,3.5230886936187744,0.617781271200824
baseline,0,14,0.4287742078304291,0.4287742078304291,0.4069961607456207,3.4773714542388916,0.6193288458871596
baseline,0,15,0.44291386008262634,0.44291386008262634,0.4202970564365387,3.5181002616882324,0.621180529953902
baseline,0,16,0.4428909420967102,0.4428909420967102,0.42379188537597656,3.5605881214141846,0.6181999436994257
baseline,0,17,0.44226744771003723,0.44226744771003723,0.4215138256549835,3.502812385559082,0.6201720317247345
baseline,0,18,0.43563076853752136,0.43563076853752136,0.41451171040534973,3.5256457328796387,0.6187892686288776
baseline,0,19,0.4408140480518341,0.4408140480518341,0.421921968460083,3.5484304428100586,0.6186477428992896
baseline,0,20,0.4294239282608032,0.4294239282608032,0.4062122106552124,3.5104572772979736,0.6203067307015755
baseline,0,21,0.44644004106521606,0.44644004106521606,0.4220013916492462,3.5345356464385986,0.6182324188825455
baseline,0,22,0.4351726174354553,0.4351726174354553,0.41138410568237305,3.511420726776123,0.621542164784452
baseline,0,23,0.4350801706314087,0.4350801706314087,0.41438281536102295,3.482002019882202,0.6242175523834277
baseline,0,24,0.4352184534072876,0.4352184534072876,0.41440537571907043,3.5072948932647705,0.6203175054176279
baseline,0,25,0.4286288917064667,0.4286288917064667,0.40621358156204224,3.4858579635620117,0.6218427556777922
baseline,0,26,0.4374377429485321,0.4374377429485321,0.41857099533081055,3.4910354614257812,0.6235772269920414
baseline,0,27,0.4323269724845886,0.4323269724845886,0.4085915982723236,3.462059259414673,0.624657501751184
baseline,0,28,0.42723363637924194,0.42723363637924194,0.403280645608902,3.4801337718963623,0.6237467932258269
baseline,0,29,0.42918315529823303,0.42918315529823303,0.4070814549922943,3.4680490493774414,0.6248564859984924
baseline,0,30,0.42160019278526306,0.42160019278526306,0.4007611870765686,3.4386916160583496,0.6234621800953871
baseline,0,31,0.43101033568382263,0.43101033568382263,0.4083702266216278,3.4991002082824707,0.6203229262680119
baseline,0,32,0.44762957096099854,0.44762957096099854,0.42576298117637634,3.5464677810668945,0.6213568745923553
baseline,0,33,0.4304906725883484,0.4304906725883484,0.41051343083381653,3.471548318862915,0.6250800493986476
baseline,0,34,0.4330426752567291,0.4330426752567291,0.4107569754123688,3.5126781463623047,0.6211621805941365
baseline,0,35,0.42624402046203613,0.42624402046203613,0.4046481251716614,3.477644681930542,0.623672451676282
baseline,0,36,0.43458420038223267,0.43458420038223267,0.4125322699546814,3.4870858192443848,0.6235590633000827
baseline,0,37,0.4427259564399719,0.4427259564399719,0.4183526337146759,3.5498430728912354,0.6251560677948407
baseline,0,38,0.44533786177635193,0.44533786177635193,0.42397189140319824,3.5844054222106934,0.6220300807929398
baseline,0,39,0.4330490529537201,0.4330490529537201,0.41269993782043457,3.4746365547180176,0.6263968830216149
baseline,0,40,0.4319279193878174,0.4319279193878174,0.40986204147338867,3.495833158493042,0.6245385856681674
baseline,0,41,0.4233139455318451,0.4233139455318451,0.3995633125305176,3.4667487144470215,0.6259284025707825
baseline,0,42,0.4318367540836334,0.4318367540836334,0.4090302884578705,3.4808878898620605,0.6257958350156353
baseline,0,43,0.4336356818675995,0.4336356818675995,0.4131007492542267,3.485147714614868,0.6246571275504897
baseline,0,44,0.42671504616737366,0.42671504616737366,0.40475717186927795,3.4612364768981934,0.6251144514071374
baseline,0,45,0.43435904383659363,0.43435904383659363,0.41238850355148315,3.4674947261810303,0.6272099968604122
baseline,0,46,0.43309634923934937,0.43309634923934937,0.41331779956817627,3.5268959999084473,0.6236345526170092
baseline,0,47,0.42659783363342285,0.42659783363342285,0.40939655900001526,3.4929633140563965,0.6232191836064355
baseline,0,48,0.4327755570411682,0.4327755570411682,0.4117710590362549,3.5053188800811768,0.6262280970288765
baseline,0,49,0.42928555607795715,0.42928555607795715,0.41142234206199646,3.4724173545837402,0.6249365764897796
baseline,0,50,0.4370043873786926,0.4370043873786926,0.4157111644744873,3.5523600578308105,0.6235300266999699
baseline,1,1,0.455736368894577,0.455736368894577,0.4334632456302643,3.7045533657073975,0.5855671931826026
baseline,1,2,0.4486957788467407,0.4486957788467407,0.4282158315181732,3.664280891418457,0.5937925772589744
baseline,1,3,0.4577396810054779,0.4577396810054779,0.43657419085502625,3.6546928882598877,0.5991400135402484
baseline,1,4,0.4492877125740051,0.4492877125740051,0.4270758628845215,3.5661799907684326,0.6055422361108481
baseline,1,5,0.44118449091911316,0.44118449091911316,0.4180663824081421,3.531390905380249,0.6084690887299531
baseline,1,6,0.43593674898147583,0.43593674898147583,0.4150793254375458,3.5793094635009766,0.6071308538147953
baseline,1,7,0.43775710463523865,0.43775710463523865,0.4140613377094269,3.5670859813690186,0.6132045950900049
baseline,1,8,0.4369509518146515,0.4369509518146515,0.41483214497566223,3.4951212406158447,0.6144937204628347
baseline,1,9,0.4315387010574341,0.4315387010574341,0.40777650475502014,3.524409770965576,0.6153401359577781
baseline,1,10,0.439577579498291,0.439577579498291,0.41429176926612854,3.5206804275512695,0.6155925716552081
baseline,1,11,0.4339343309402466,0.4339343309402466,0.41204795241355896,3.497368097305298,0.6165300424014545
baseline,1,12,0.4400334656238556,0.4400334656238556,0.4195335805416107,3.5274388790130615,0.615770562469922
baseline,1,13,0.4375901222229004,0.4375901222229004,0.4156325161457062,3.56217885017395,0.615997455508909
baseline,1,14,0.43249425292015076,0.43249425292015076,0.40930014848709106,3.4919824600219727,0.6185885486458677
baseline,1,15,0.4356459677219391,0.4356459677219391,0.41329389810562134,3.48164963722229,0.6182667711660365
baseline,1,16,0.434783011674881,0.434783011674881,0.4141775369644165,3.5343425273895264,0.6169423798200637
baseline,1,17,0.44054320454597473,0.44054320454597473,0.4170251190662384,3.5074284076690674,0.621334648971632
baseline,1,18,0.45457950234413147,0.45457950234413147,0.4317093789577484,3.5707902908325195,0.6197056795037146
baseline,1,19,0.43489986658096313,0.43489986658096313,0.41119757294654846,3.4915878772735596,0.6228483066109046
baseline,1,20,0.43666350841522217,0.43666350841522217,0.4123117923736572,3.5058512687683105,0.6214823755470295
baseline,1,21,0.43612441420555115,0.43612441420555115,0.41149646043777466,3.5384271144866943,0.6209927749148577
baseline,1,22,0.43488985300064087,0.43488985300064087,0.4106922149658203,3.503173589706421,0.6228608481226205
baseline,1,23,0.4293951392173767,0.4293951392173767,0.409894198179245,3.5174574851989746,0.6187138205588771
baseline,1,24,0.4356369078159332,0.4356369078159332,0.4162580966949463,3.520354747772217,0.6199461863298581
