regime,n_seeds,frac_clipped_val_mean,frac_clipped_val_ci,proxy_worst_loss_mean,proxy_worst_loss_ci,tail_worst_cvar_mean,tail_worst_cvar_ci,test_hosp2_acc_mean,test_hosp2_acc_ci,delta_proxy_vs_erm,delta_tail_vs_erm,delta_hosp2_vs_erm
erm,10,,,0.765871031912752,0.00229474491605146,5.804184472560882,0.05827050957823395,0.9189115150375056,0.0004796871830180034,0.0,0.0,0.0
erm_focal_g1_cam,10,,,0.7110649895353401,0.00246484056685326,3.3691211104393006,0.06825783501690164,0.9173301667176148,0.0009396213899434569,-0.05480604237741182,-2.4350633621215816,-0.001581348319890763
erm_focal_g2_cam,10,,,0.7003453959128432,0.0016747444999325556,2.4622640013694763,0.06542259730221855,0.917099724880664,0.00131841913223637,-0.0655256359999088,-3.341920471191406,-0.0018117901568415196
erm_focal_g4_cam,10,,,0.6963208419338001,0.001414905363410206,1.6906955927610396,0.06928405634301009,0.9153643567615868,0.0013068948726812702,-0.0695501899789519,-4.113488879799842,-0.0035471582759187825
