epoch,regime,seed,tag,test_acc,test_hosp_2_acc,test_hosp_2_loss,test_loss,test_worst_domain_acc,test_worst_domain_loss,val_acc,val_hosp_1_acc,val_hosp_1_loss,val_loss,val_worst_domain_acc,val_worst_domain_loss
11,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9222729089754744,0.9222729089754744,0.25346397295529816,0.25346397295529816,0.9222729089754744,0.25346397295529816,0.9084632133852854,0.9084632133852854,0.3095827188149611,0.3095827188149611,0.9084632133852854,0.3095827188149611
7,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9190984550991135,0.9190984550991135,0.24422239958887734,0.24422239958887734,0.9190984550991135,0.24422239958887734,0.906343112537245,0.906343112537245,0.29247175212309434,0.29247175212309434,0.906343112537245,0.29247175212309434
12,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.920697439273873,0.920697439273873,0.2570778672845123,0.2570778672845123,0.920697439273873,0.2570778672845123,0.9078042631217053,0.9078042631217053,0.31235531892295304,0.31235531892295304,0.9078042631217053,0.31235531892295304
5,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9155712841253791,0.9155712841253791,0.24883136889852564,0.24883136889852564,0.9155712841253791,0.24883136889852564,0.9034208113683245,0.9034208113683245,0.2907552952954175,0.2907552952954175,0.9034208113683245,0.2907552952954175
24,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9196392879817528,0.9196392879817528,0.2768781483397844,0.2768781483397844,0.9196392879817528,0.2768781483397844,0.9076610130644053,0.9076610130644053,0.33646004729203066,0.33646004729203066,0.9076610130644053,0.33646004729203066
5,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9177581301290945,0.9177581301290945,0.24389401622969142,0.24389401622969142,0.9177581301290945,0.24389401622969142,0.9030197112078845,0.9030197112078845,0.2905590205865043,0.2905590205865043,0.9030197112078845,0.2905590205865043
10,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9193806287770122,0.9193806287770122,0.25511290036326456,0.25511290036326456,0.9193806287770122,0.25511290036326456,0.9081767132706853,0.9081767132706853,0.3022866873058732,0.3022866873058732,0.9081767132706853,0.3022866873058732
5,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9157123709643286,0.9157123709643286,0.24823444756532184,0.24823444756532184,0.9157123709643286,0.24823444756532184,0.9029337611735044,0.9029337611735044,0.2920298851265045,0.2920298851265045,0.9029337611735044,0.2920298851265045
25,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9192630564112211,0.9192630564112211,0.279629579608808,0.279629579608808,0.9192630564112211,0.279629579608808,0.9072885629154251,0.9072885629154251,0.3455268210369674,0.3455268210369674,0.9072885629154251,0.3455268210369674
7,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9202859359936041,0.9202859359936041,0.2450639653310564,0.2450639653310564,0.9202859359936041,0.2450639653310564,0.905827412330965,0.905827412330965,0.2935125855079567,0.2935125855079567,0.905827412330965,0.2935125855079567
10,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9210266418980882,0.9210266418980882,0.25467939302460707,0.25467939302460707,0.9210266418980882,0.25467939302460707,0.9088929635571854,0.9088929635571854,0.3036509655879268,0.3036509655879268,0.9088929635571854,0.3036509655879268
5,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9159475156959108,0.9159475156959108,0.24548393724991072,0.24548393724991072,0.9159475156959108,0.24548393724991072,0.9030197112078845,0.9030197112078845,0.2874735795303393,0.2874735795303393,0.9030197112078845,0.2874735795303393
10,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9207797399299269,0.9207797399299269,0.2543402394925337,0.2543402394925337,0.9207797399299269,0.2543402394925337,0.9088356635342654,0.9088356635342654,0.30299167084066,0.30299167084066,0.9088356635342654,0.30299167084066
6,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9163825334493381,0.9163825334493381,0.2488074144531916,0.2488074144531916,0.9163825334493381,0.2488074144531916,0.9055982122392849,0.9055982122392849,0.28957772715337143,0.28957772715337143,0.9055982122392849,0.28957772715337143
28,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9173466268488254,0.9173466268488254,0.2897198979834825,0.2897198979834825,0.9173466268488254,0.2897198979834825,0.9072885629154251,0.9072885629154251,0.34989423716176127,0.34989423716176127,0.9072885629154251,0.34989423716176127
