regime,n,test_overall_acc_mean,test_overall_acc_ci,test_overall_loss_mean,test_overall_loss_ci,test_brier_mean,test_brier_ci,test_ece_mean,test_ece_ci,test_worst_group_brier_mean,test_worst_group_brier_ci,test_worst_group_ece_mean,test_worst_group_ece_ci
erm,10,0.9420849614267108,0.0009257473886352947,0.1409991651773453,0.0023988294015332783,0.042271390092990094,0.000686440273593715,0.005556984021984912,0.001392176442732896,0.48565053873739916,0.023791562516261307,0.4526236090212074,0.028750342368654938
erm_softclip_p95_a10,10,0.9412684099789599,0.0011603004631099139,0.22950390875339508,0.013254565506448905,0.0486038229600113,0.0012964251381435857,0.03853488930249461,0.0029005645100147674,0.6108270267063836,0.015253233619799564,0.5991365700927695,0.015046277841921425
