metric,delta_mean,ci_low,ci_high,count,n,count_label,interpretation,delta_values
GCE validation proxy,-0.015268661081790924,-0.01902003992615451,-0.011517282237427337,10,10,proxy better,proxy improves,-0.0209267959;-0.01268076897;-0.01948235184;-0.007402680814;-0.02290157229;-0.01240164042;-0.01421314478;-0.008319705725;-0.01891306043;-0.01544488966
Validation CE loss,0.1483617678284645,0.11307299991836736,0.18365053573856163,10,10,worse,validation loss worsens,0.1364451796;0.1496592164;0.1132376492;0.08237496018;0.1078580618;0.2014121264;0.2559778839;0.149397403;0.1503610611;0.1368941367
Validation accuracy,0.0046499999999999875,0.0007102147152414301,0.008589785284758546,8,10,better,validation accuracy improves,0.0045;0.0045;0.009;0;0.015;0.0025;0.0095;0.001;0.005;-0.0045
Held-out loss,0.5655287086963654,0.15662955604418255,0.9744278613485482,8,10,worse,held-out loss worsens,0.6221189499;1.656970501;0.5285109282;-0.1450997591;-0.1140557528;1.126467764;0.1518782973;0.2933746576;1.029149473;0.5059720278
Fixed held-out loss-tail,3.4861997604370116,1.693985238709594,5.278414282164429,10,10,worse,tail worsens,3.824864388;7.158915997;2.99435997;0.598007679;0.2231779099;6.23464632;1.839352131;2.025661945;6.824468374;3.138542891
Held-out accuracy,0.0233475203988055,-0.021198362651924867,0.06789340344953587,4,10,better,mixed,0.06018529405;-0.08720342371;-1.175723658e-05;0.1054624121;0.09479859854;-0.0002939309145;0.09175347426;-0.003256754532;-0.004009217673;-0.02394949091
Held-out ECE,0.014196267458859787,-0.03523038828485575,0.06362292320257533,6,10,worse,mixed,-0.01540473068;0.1256926481;0.02732997239;-0.09331381222;-0.07004974132;0.05921741567;-0.04356093114;0.02155189138;0.05511105136;0.07538891106
Held-out Brier,0.002037344102703806,-0.039592640654549864,0.04366732885995748,6,10,worse,mixed,-0.01951168611;0.1066905267;0.01969218275;-0.08423351545;-0.07132122363;0.03362459354;-0.0462142004;0.005697226955;0.03585240407;0.04009713263
