regime,n,proxy_worst_loss_clip_mean,proxy_worst_loss_clip_ci,proxy_worst_loss_mean,proxy_worst_loss_ci,tail_worst_cvar_mean,tail_worst_cvar_ci,oracle_wg_acc_mean,oracle_wg_acc_ci,val_overall_acc_mean,val_overall_acc_ci,frac_clipped_val_mean,frac_clipped_val_ci
erm,10,,,0.9745422708475461,0.01955859837613398,7.361527395248413,0.08593946959522336,0.8969082125603863,0.004225537291273688,0.90825,0.0009717990190020495,,
erm_softclip_p95_a10_cam,10,0.5683935951608015,0.007201390179512675,1.5427024151909579,0.022942342005622198,12.795665407180786,0.08735973588655259,0.9087762509073615,0.0016375449273489581,0.91365,0.0004631299313727496,0.08935,0.0008398573953025867
erm_softclip_p97_a10_cam,10,0.6976261276528946,0.008154573830282095,1.562114248811494,0.017861944544358115,12.095210027694701,0.1105288042415081,0.902415458937198,0.002878897047593323,0.91185,0.0011600116857648835,0.0771,0.0006975691124660462
erm_softclip_p99_a10_cam,10,0.9891987621190494,0.009773846440475804,1.278359663048515,0.020397863258721078,10.419213008880615,0.10907719304681067,0.8989371980676328,0.0032211797245035984,0.90945,0.0010478823089132361,0.0491,0.0007562880109822953
