selection_mode,selection_policy,regime,seed,tag,epoch,val_overall_loss,val_overall_acc,proxy_metric,proxy_metric_name,bootstrap_rw,bootstrap_rw_early_mean,fallback_to_baseline,guardrail_budget_rho,guardrail_threshold,oracle_target_metric
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,7,0.2446629258788415,0.911,0.64612987113627,bootstrap_proxy_worst_loss,0.5727497059406534,0.6034990117653292,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,24,0.2699069830448818,0.9145,0.6427994439703989,bootstrap_proxy_worst_loss,0.585649580891675,0.6034990117653292,0.0,1.25,0.296654854192479,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,7,0.2446629258788415,0.911,0.64612987113627,bootstrap_proxy_worst_loss,0.5727497059406534,0.6034990117653292,,,,test_hosp_2_loss
selected_best_proxy,baseline,erm,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,8,0.2426199209020804,0.9115,0.7642767304935122,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,16,0.2693110371393838,0.9105,0.6475636166364355,bootstrap_proxy_worst_loss,0.5625475163824212,0.6091061656803347,,,,
selected_best_proxy,val_loss_only,erm_bootstrap_h60_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,3,0.2430449425612166,0.905,0.662137521244885,bootstrap_proxy_worst_loss,0.609014693774528,0.6091061656803347,,,,
selected_best_proxy,guardrail,erm_bootstrap_h60_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,16,0.2693110371393838,0.9105,0.6475636166364355,bootstrap_proxy_worst_loss,0.5625475163824212,0.6091061656803347,0.0,1.25,0.30327490112760047,
selected_best_proxy,oracle_loss,erm_bootstrap_h60_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,9,0.2551258069902483,0.9115,0.6613809833575707,bootstrap_proxy_worst_loss,0.5587051325150865,0.6091061656803347,,,,test_hosp_2_loss
selected_best_proxy,baseline,erm,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2340436412429113,0.9045,0.766048548741308,proxy_worst_loss_min,,,,,,
selected_best_proxy,proxy_only,erm_bootstrap_h60_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v30boot_hard_b60_cam_3s,6,0.2443957982720949,0.911,0.6418893094338356,bootstrap_proxy_worst_loss,0.5690256850891331,0.6033839347533685,,,,
