case,hazard,delta_acc,delta_loss,delta_tail_rel,delta_ece
Camelyon17 ERM,persistent,0.0009852564253296503,0.0553146303895537,5.501472663879394,0.0321378725917134
CelebA ERM,transient,-0.017222222222222194,2.2071008205413807,11.317001581192015,0.0329779052805097
Camelyon17 Finetune,persistent$^{\dagger}$,0.0251087544383568,0.6185242155409866,6.2263586044311525,0.0213911332838991
CivilComments,persistent,-0.0039870834641431,0.1037187218666076,1.8291770696640013,0.070080422043447
ACSIncome,persistent,,0.02710509300231932,0.3761466026306154,
