fold,holdout_hospital,seed,level,contrast,proxy_epoch,other_epoch,delta_proxy_metric,delta_val_overall_loss,delta_loss,delta_acc,delta_brier,delta_ece
camelyon17_loo_h0,0,0,P95,same trajectory: proxy - val-loss,10,2,-0.052126476308330894,0.029558708407006196,0.006103461960073497,0.008722508189050071,-0.005073684368739,0.0103028918972983
camelyon17_loo_h0,0,1,P95,same trajectory: proxy - val-loss,12,4,-0.10234576165990023,0.027976817205301596,0.015523513620664925,0.0029761347683667783,-0.0006872138168247041,-0.0012177403777305987
camelyon17_loo_h0,0,2,P95,same trajectory: proxy - val-loss,4,18,-0.042993645743582,0.0122625641220023,-0.0007587265174822944,-0.0008797379503978631,0.0007367614792911995,-0.0006924625249931995
camelyon17_loo_h0,0,3,P95,same trajectory: proxy - val-loss,6,30,-0.1674880392689858,0.03737186160354769,0.013770526629692803,0.00026204960224640583,0.0007834652583982998,0.0010131703781387988
camelyon17_loo_h0,0,4,P95,same trajectory: proxy - val-loss,26,16,-0.04140124756534136,0.009243321668976512,0.009161866456401824,0.0005615348619559812,0.0001341729419307991,0.0048307342923379
camelyon17_loo_h0,0,5,P95,same trajectory: proxy - val-loss,27,25,-0.035301799293472436,0.036638003649321405,0.025259443880492005,-0.012335049134300391,0.008393690474130501,-0.005890151410712901
camelyon17_loo_h0,0,6,P95,same trajectory: proxy - val-loss,22,22,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h0,0,7,P95,same trajectory: proxy - val-loss,2,4,-0.04929261626728043,0.044384639833187994,0.03529978291444669,-0.01877398221806259,0.0130032467751299,-0.011328874603298301
camelyon17_loo_h0,0,8,P95,same trajectory: proxy - val-loss,1,10,-0.031509572826849075,0.013922078527870724,0.017462338272479616,-0.01068788020589595,0.0072259395885865,0.013185951107992602
camelyon17_loo_h0,0,9,P95,same trajectory: proxy - val-loss,1,4,-0.003367320353458325,0.008216249325076419,0.0090780605656815,-0.00612072999532054,0.004091761089065303,0.0102588186164188
camelyon17_loo_h1,1,0,P95,same trajectory: proxy - val-loss,14,14,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,1,P95,same trajectory: proxy - val-loss,29,4,-0.03118631434760899,0.05030682466401798,0.06361285648048076,-0.011316754526701889,0.011501614595081505,0.029819126853260998
camelyon17_loo_h1,1,2,P95,same trajectory: proxy - val-loss,30,30,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,3,P95,same trajectory: proxy - val-loss,14,6,-0.016684495571186453,0.011345315940238077,0.013443467126541375,0.0020055008022001886,-0.00023046351700850565,0.0065690527333666995
camelyon17_loo_h1,1,4,P95,same trajectory: proxy - val-loss,6,6,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,5,P95,same trajectory: proxy - val-loss,12,26,-0.13513321914677368,0.021305050790443703,0.03414501626482702,-0.007878753151501217,0.006688210141433698,0.0202662608969875
camelyon17_loo_h1,1,6,P95,same trajectory: proxy - val-loss,4,17,-0.021831146151813363,0.01599019281668379,0.004339832809229283,-0.005529452211780916,0.002657505185290801,0.001055787423263399
camelyon17_loo_h1,1,7,P95,same trajectory: proxy - val-loss,7,17,-0.06629095507055283,0.007282506024818669,0.003032532817914435,-0.0004584001833600748,0.001649321631224901,0.011807187104538798
camelyon17_loo_h1,1,8,P95,same trajectory: proxy - val-loss,10,10,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h1,1,9,P95,same trajectory: proxy - val-loss,7,20,-0.022121974471929207,0.028401500872484498,0.05044913563822723,-0.013952555581022263,0.01116135377638601,-0.008662958847270905
camelyon17_loo_h2,2,0,P95,same trajectory: proxy - val-loss,14,4,-0.061400600329536204,0.015351235637365096,0.016422374173087506,0.0010228795823832293,0.0004174491243658929,0.010978676989217
camelyon17_loo_h2,2,1,P95,same trajectory: proxy - val-loss,20,12,-0.09328891823423624,0.0938896428644102,0.08157602436627118,-0.026688927034589804,0.019674170697163394,0.0355912376523662
camelyon17_loo_h2,2,2,P95,same trajectory: proxy - val-loss,16,14,-0.0564724876495748,0.0008910126351157066,-0.000610916901800207,0.005925647235873854,-0.003585048968898101,0.006873594435140899
camelyon17_loo_h2,2,3,P95,same trajectory: proxy - val-loss,3,13,-0.062036482921548064,0.0034339827443954918,0.005898671007323497,0.0018106144331837548,-0.0004719257294819035,0.0018823281617183982
camelyon17_loo_h2,2,4,P95,same trajectory: proxy - val-loss,10,6,-0.0769197500235097,0.007538619325752921,0.006722739327941707,0.0047734380511205154,-0.002262371795585,0.0159020350678713
camelyon17_loo_h2,2,5,P95,same trajectory: proxy - val-loss,1,6,-0.03916372107718313,0.0022188583292752084,0.0032508865901769157,-0.004291391351376794,0.0024975766851527,-0.007049440800079399
camelyon17_loo_h2,2,6,P95,same trajectory: proxy - val-loss,12,12,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h2,2,7,P95,same trajectory: proxy - val-loss,30,1,-0.028367506207130133,0.06054089073302821,0.05543392417299778,-0.010064194511722024,0.009651501234751794,0.0371822771847137
camelyon17_loo_h2,2,8,P95,same trajectory: proxy - val-loss,8,1,-0.004074569794910721,0.005707660614552412,0.008964868684010696,-0.005737531450607847,0.003591713051464787,0.012458609251123598
camelyon17_loo_h2,2,9,P95,same trajectory: proxy - val-loss,1,1,0.0,0.0,0.0,0.0,0.0,0.0
camelyon17_loo_h3,3,0,P95,same trajectory: proxy - val-loss,4,18,-0.012371590189409698,0.0322709362152713,0.0250671674151208,-0.00548055301430439,0.004551660211690199,0.0031594295934891
camelyon17_loo_h3,3,1,P95,same trajectory: proxy - val-loss,6,29,-0.0033660753621185258,0.0658257942046662,0.059681459493206995,-0.007412854077069819,0.007949008421881003,0.0023699557134045993
camelyon17_loo_h3,3,2,P95,same trajectory: proxy - val-loss,4,17,-0.1245378692868826,0.021049312154696603,0.01861639205273749,0.003163501739925967,-0.0013729886460590937,0.015143002349166499
camelyon17_loo_h3,3,3,P95,same trajectory: proxy - val-loss,26,8,-0.010346661489115005,0.0648670089654241,0.06958433214683218,-0.0057969031882966204,0.005684557908562801,0.007060388124262601
camelyon17_loo_h3,3,4,P95,same trajectory: proxy - val-loss,8,14,-0.04315261316845809,0.031104618338619494,0.024758440978169594,0.0019494010721704536,0.0005137321109272008,-0.004021415281271701
camelyon17_loo_h3,3,5,P95,same trajectory: proxy - val-loss,23,20,-0.02824953441552347,0.10432869951739099,0.09801370511352389,0.00220590121324582,0.0025147654202717987,-0.0011840016979082005
camelyon17_loo_h3,3,6,P95,same trajectory: proxy - val-loss,6,24,-0.17598368679303,0.0028936564208958127,-0.004044465025603988,-0.0013509007429954867,0.0007121853679121007,0.006118427280003901
