condition,regime,seed,tag,epoch,val_ce,gce_proxy,tail_worst_cvar,tail_within_cvar,oracle_wg_acc,rw_tail_core,test_loss,test_acc,test_brier,test_ece
baseline_selected,erm,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2365991324186325,0.14655350210657836,5.606345653533936,0.37112559603700157,0.900518134715026,0.4324312959703398,0.21127313396953873,0.9182166623556799,0.061796232223995946,0.010892718893328646
gce_proxy_selected,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,12,0.3134421706199646,0.1220465349383019,11.101027011871338,0.5282338168220244,0.9036269430051812,0.34679228188092626,0.2509054874366246,0.9231782161920662,0.06084739243692448,0.03665312602446248
gce_val_loss_selected,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,3,0.28247252106666565,0.1397642184724631,8.316848874092102,0.6426606815849248,0.8880829015544042,0.3986879912662033,0.23829346336985655,0.9121734427540151,0.06676304982415131,0.023742959727308954
baseline_fixed30,erm,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.270383358001709,0.14505364125524853,7.420550584793091,0.4025718030959329,0.8927536231884058,0.3822922100147063,0.235143983011219,0.9099278105674042,0.06770266073687792,0.01644599718936414
gce_fixed30,erm_gce_q07_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.3806949555873871,0.12713867156193553,13.592580556869509,0.596123368611941,0.8975845410628019,0.307946664042893,0.29806190063381255,0.9183930209043666,0.06619935960239458,0.04670052166266512
baseline_selected,erm,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.2352801263332367,0.14833042302537675,5.408571720123291,0.3964501288918427,0.8984455958549222,0.44342469968137355,0.21388107404694304,0.9174759564511957,0.06259576069115037,0.012837015622341316
gce_proxy_selected,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,17,0.32826849818229675,0.1227470338412806,11.38672161102295,0.5113662180500411,0.9098445595854924,0.3312096020634942,0.26620268580730305,0.9199920050791262,0.06364335778831198,0.04027850958863205
gce_val_loss_selected,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,3,0.2784269452095032,0.13778285874786567,8.315552353858948,0.6377734744638995,0.8849740932642487,0.40368408841496145,0.2385545777468447,0.91237331577586,0.0667729962691879,0.024228715989619384
baseline_fixed30,erm,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,30,0.2645164430141449,0.14116118622493404,7.402439117431641,0.3927287282113972,0.9053140096618356,0.3847524865702203,0.22936624231957264,0.9137724269287747,0.06533825753298082,0.015420527293484657
gce_fixed30,erm_gce_q07_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v29gcefix_cam_pilot3s,30,0.38002756237983704,0.12557602385517375,13.729044675827026,0.5918951899818152,0.9033816425120772,0.3079320553392165,0.2971032128138339,0.9196040162720154,0.06546349428652032,0.04610700254565925
