level,contrast,metric,mean,ci_low,ci_high,n,harm_count,harmful_direction
P95,same trajectory: proxy - val-loss,Proxy metric,-0.016676328771062055,-0.021762481938881185,-0.01123796779743285,10,10,negative
P95,same trajectory: proxy - val-loss,Validation loss,0.03157855247132936,0.018992678333971374,0.04519296676562598,10,10,positive
P95,same trajectory: proxy - val-loss,Loss,0.020024690660304198,0.010712833408141787,0.029752993986650718,10,10,positive
P95,same trajectory: proxy - val-loss,Acc,0.0033590424906529857,0.001804677028711181,0.004852211536200479,10,2,negative
P95,same trajectory: proxy - val-loss,ECE,0.006762815723031638,0.004747357597532481,0.009064401188599653,10,10,positive
P95,same trajectory: proxy - val-loss,Brier,-0.001139495847528519,-0.002396480916781441,0.0001621490326298636,10,3,positive
P95,same trajectory: proxy - val-loss,Teacher-tail CVaR,2.00911169052124,1.4594360083341595,2.6071519994735715,10,10,positive
P97,same trajectory: proxy - val-loss,Proxy metric,-0.04802361697944222,-0.06031055982658744,-0.03769860199729851,10,10,negative
P97,same trajectory: proxy - val-loss,Validation loss,0.044446441031246946,0.036989595033310466,0.05191035227526094,10,10,positive
P97,same trajectory: proxy - val-loss,Loss,0.022962228969530086,0.018068498580796913,0.027888611248461603,10,10,positive
P97,same trajectory: proxy - val-loss,Acc,0.004031556422978311,0.002485479812824831,0.005798698473910665,10,0,negative
P97,same trajectory: proxy - val-loss,ECE,0.01047606623378002,0.008808233715420312,0.012187710578595226,10,10,positive
P97,same trajectory: proxy - val-loss,Brier,-0.0012567680849318475,-0.002488321795636633,-0.00016918351112396482,10,2,positive
P97,same trajectory: proxy - val-loss,Teacher-tail CVaR,2.391452634334565,2.051110080182553,2.7130740764737125,10,10,positive
P99,same trajectory: proxy - val-loss,Proxy metric,-0.011841081270602538,-0.018848978689845124,-0.005752760134842791,10,8,negative
P99,same trajectory: proxy - val-loss,Validation loss,0.004924430157469942,0.002411227352776352,0.007621266802188548,10,8,positive
P99,same trajectory: proxy - val-loss,Loss,-0.0030426073625827083,-0.005639512444922675,-0.0009906158073630794,10,1,positive
P99,same trajectory: proxy - val-loss,Acc,0.0033931384767323823,0.0017506525266300919,0.005375408563971041,10,0,negative
P99,same trajectory: proxy - val-loss,ECE,0.00497505148997693,0.00289249151958505,0.00710526456031281,10,8,positive
P99,same trajectory: proxy - val-loss,Brier,-0.0022649251446256596,-0.0035466008502689464,-0.0011842451941162081,10,0,positive
P99,same trajectory: proxy - val-loss,Teacher-tail CVaR,0.711625623703003,0.4150546622276307,1.022771705687046,10,8,positive
