"fold","holdout_hospital","level","selection_policy","regime","seed","tag","epoch","chosen_val_overall_loss","chosen_val_overall_acc","chosen_proxy_metric","chosen_proxy_metric_col"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","24","0.188291644974906","0.9305","0.6987602590033282","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","19","0.168190529598145","0.9445","0.6041422741493823","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","19","0.168190529598145","0.9445","0.6041422741493823","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","3","0.1965369589487127","0.939","0.6772561869805768","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","29","0.1571494682168618","0.945","0.7612911931349537","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","baseline","baseline","rcgdro","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","3","0.2087249765051456","0.9435","0.684886941739491","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","4","0.228243542477027","0.933","0.5305985222933288","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","19","0.1977817575751069","0.9235","0.6784616705566271","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","2","0.2265443149066368","0.9295","0.6397369640265121","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","7","0.1672262079022778","0.9365","0.667850699737998","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","8","0.1745689307302409","0.943","0.6549435099411847","proxy_worst_loss_clip_min"
