"fold","holdout_hospital","level","selection_policy","regime","seed","tag","epoch","chosen_val_overall_loss","chosen_val_overall_acc","chosen_proxy_metric","chosen_proxy_metric_col"
"camelyon17_loo_h2","2","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","6","0.2354661614168924","0.913","0.5985612646321261","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","5","0.2258173127493732","0.915","0.6854276715035883","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","5","0.2258173127493732","0.915","0.6854276715035883","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","22","0.2126144717983676","0.926","0.669618606625877","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","16","0.2104179214732995","0.9235","0.6964731961488724","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","baseline","baseline","rcgdro","5","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","9","0.2063648264746116","0.929","0.6577818145354588","proxy_worst_loss_min"
"camelyon17_loo_h2","2","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","12","0.2287875279873409","0.9205","0.5282194464998201","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","12","0.2287875279873409","0.9205","0.5282194464998201","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","19","0.2495273305294651","0.911","0.6762605803307756","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","18","0.2404648435974095","0.9115","0.7786884287611595","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","3","0.2382237505197881","0.909","0.7262541522842743","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","3","0.2382237505197881","0.909","0.7262541522842743","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","baseline","baseline","rcgdro","6","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","3","0.2320564336742027","0.9165","0.6864853217425817","proxy_worst_loss_min"
"camelyon17_loo_h2","2","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","30","0.3117612808652941","0.888","0.5357347796350891","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","1","0.2512203901322659","0.9065","0.5641022858422192","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","3","0.230788436374763","0.918","0.6259815003863046","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","12","0.2294463483149963","0.9125","0.707259063765752","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","6","0.2442110232541163","0.9115","0.7044138876777707","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","28","0.2222349520407912","0.9115","0.7211981568372611","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","baseline","baseline","rcgdro","7","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","8","0.2290439539072913","0.9185","0.69610150406758","proxy_worst_loss_min"
"camelyon17_loo_h2","2","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","8","0.2564767861447903","0.8945","0.5536222139180413","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","1","0.2507691255302379","0.9095","0.5576967837129521","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","1","0.2412964989248521","0.9145","0.6586119143156002","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","8","0.2224026123501595","0.915","0.705740211573533","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","11","0.2112303039591089","0.9205","0.6525055053107667","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","24","0.2103771250051443","0.919","0.6883968219161034","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","baseline","baseline","rcgdro","8","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","5","0.2038295098654052","0.93","0.6384945237537516","proxy_worst_loss_min"
"camelyon17_loo_h2","2","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","1","0.2333092159191742","0.9125","0.5501244370288988","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h2cal","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip738_clipa10","1","0.2333092159191742","0.9125","0.5501244370288988","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","22","0.2376242265822276","0.922","0.6625259748642776","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h2cal","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1134_clipa10","1","0.2243058620030115","0.914","0.6675378602069985","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","15","0.2068490131609999","0.925","0.6394832444012655","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","P99","val_loss_only","rcgdro_softclip_p99_a10_cam_loo_h2cal","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2102_clipa10","15","0.2068490131609999","0.925","0.6394832444012655","proxy_worst_loss_clip_min"
"camelyon17_loo_h2","2","baseline","baseline","rcgdro","9","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1","3","0.2277162704979382","0.9235","0.6573676586151123","proxy_worst_loss_min"
"camelyon17_loo_h3","3","P95","proxy_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","4","0.2199493542687649","0.9325","0.5365561767952498","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P95","val_loss_only","rcgdro_softclip_p95_a10_cam_loo_h3cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip782_clipa10","18","0.1876784180534936","0.943","0.5489277669846595","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","proxy_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","9","0.1750883039220474","0.944","0.567182986355357","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P97","val_loss_only","rcgdro_softclip_p97_a10_cam_loo_h3cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip1185_clipa10","21","0.1741429545688444","0.9455","0.6051489561303588","proxy_worst_loss_clip_min"
"camelyon17_loo_h3","3","P99","proxy_only","rcgdro_softclip_p99_a10_cam_loo_h3cal","0","h0_do0.0_lr0.001_wd0.0001_bs512_ep30_K64_eta0.1_clip2145_clipa10","15","0.1868429079838083","0.9365","0.6860658443636365","proxy_worst_loss_clip_min"
