regime,n,val_overall_acc_mean,val_overall_acc_ci,val_overall_loss_mean,val_overall_loss_ci,val_brier_mean,val_brier_ci,val_ece_mean,val_ece_ci,val_worst_domain_brier_mean,val_worst_domain_brier_ci,val_worst_domain_ece_mean,val_worst_domain_ece_ci
erm_finetune,10,0.93035,0.0029925822110678825,0.19300889334667692,0.01129217420971512,0.05375625681101578,0.002454549372602279,0.027602881011155905,0.004897325770017039,0.05375625681101578,0.002454549372602279,0.027602881011155905,0.004897325770017039
erm_focal_g2_cam_finetune,10,0.9305,0.002517727824845256,0.2092592407178489,0.007199248842791773,0.057554908931022,0.0022160002843291888,0.051831228725618295,0.016439076562021763,0.057554908931022,0.0022160002843291888,0.051831228725618295,0.016439076562021763
erm_labelsmooth_e10_cam_finetune,10,0.9308,0.0034188724691043984,0.2022259513788549,0.007224770880142011,0.053749840500205134,0.002121931223093233,0.04146964686808837,0.006281273753083737,0.053749840500205134,0.002121931223093233,0.04146964686808837,0.006281273753083737
erm_softclip_p95_a10_cam_finetune,10,0.931,0.005026980823516227,0.3409389214881425,0.07750410115837929,0.05919617419123423,0.005209055961932494,0.05213023154861601,0.006088388453347075,0.05919617419123423,0.005209055961932494,0.05213023154861601,0.006088388453347075
