test_loss,test_acc,test_brier,test_ece,teacher_tail_cvar,objective,regime,seed,tag,policy,epochs,mean_epoch,val_loss_epoch,val_acc_epoch,proxy_epoch,chosen_val_loss,chosen_val_acc
0.28305567994696984,0.9210266418980882,0.06387044444603251,0.043601909352884265,12.544353949150175,SoftClip P95,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,5,21,10,,
0.2441896099044125,0.9170056669880311,0.06439872555068096,0.032376246141716504,9.338413146868792,SoftClip P95,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,3/4/5/6/7,5.0,5,21,10,,
0.2796295800982718,0.9192630564112211,0.06468353747925547,0.04329859143388248,12.325535404747644,SoftClip P95,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,proxy_best,25,25.0,7,15,25,0.3537895977497101,0.912
0.24506396607151157,0.9202859359936041,0.06263831215583412,0.035293306974830255,9.758973384546586,SoftClip P95,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_loss_best,7,7.0,7,15,25,0.2960300147533417,0.9095
0.2624054851936236,0.9211559715004586,0.06292868790115361,0.03929984441797167,11.470951582219419,SoftClip P95,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_acc_best,15,15.0,7,15,25,0.3284285068511963,0.915
0.28260233185846234,0.9209208267688762,0.06381107362456537,0.043605846176803985,12.540980564325723,SoftClip P95,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_last5,26/27/28/29/30,28.0,7,15,25,,
0.24525506426912638,0.919874432713335,0.06289995035862306,0.03504897968413963,9.918694486250681,SoftClip P95,erm_softclip_p95_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,avg_val_loss5,5/6/7/8/9,7.0,7,15,25,,
0.2546793941777473,0.9210266418980882,0.06246857418190168,0.038244504180244915,10.396838305085517,SoftClip P95,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,proxy_best,10,10.0,5,27,10,0.3050747811794281,0.914
0.2454839377878107,0.9159475156959108,0.06512677248570425,0.03361364372125335,9.230816386849376,SoftClip P95,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_loss_best,5,5.0,5,27,10,0.29378533363342285,0.9045
0.28070750754948315,0.9215792320173066,0.06321635893816559,0.04327636106066233,12.439306547269657,SoftClip P95,erm_softclip_p95_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,val_acc_best,27,27.0,5,27,10,0.35221046209335327,0.9155
