dataset,regime,seed,tag,epoch,test_overall_acc,test_overall_loss,test_brier,test_ece,test_worst_domain_brier,test_worst_domain_ece
camelyon17,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,10,0.9207797399299269,0.2543402394925337,0.062627192764013,0.03812469816172995,0.062627192764013,0.03812469816172995
camelyon17,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.9163825334493381,0.2488074144531916,0.0651581257132312,0.03519923048004679,0.0651581257132312,0.03519923048004679
camelyon17,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.9163825334493381,0.2488074144531916,0.0651581257132312,0.03519923048004679,0.0651581257132312,0.03519923048004679
camelyon17,erm,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.920685682037294,0.20818729202469824,0.060451444677419836,0.01025249698313947,0.060451444677419836,0.01025249698313947
camelyon17,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,28,0.9173466268488254,0.2897198979834825,0.06645327767239341,0.045282163989612295,0.06645327767239341,0.045282163989612295
camelyon17,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.917617043290145,0.24467752220194805,0.06417287325052398,0.033108343423207585,0.06417287325052398,0.033108343423207585
camelyon17,erm,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.920685682037294,0.20818729202469824,0.060451444677419836,0.01025249698313947,0.060451444677419836,0.01025249698313947
camelyon17,erm,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.9174406847414583,0.21361909165384615,0.06251162986578747,0.009616266589561604,0.06251162986578747,0.009616266589561604
camelyon17,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,11,0.9211912432101959,0.25339724561693644,0.06232785076332184,0.037747685247706345,0.06232785076332184,0.037747685247706345
camelyon17,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.9135490394337715,0.24601449451954213,0.06666324481944289,0.03152553108208722,0.06666324481944289,0.03152553108208722
camelyon17,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.9135490394337715,0.24601449451954213,0.06666324481944289,0.03152553108208722,0.06666324481944289,0.03152553108208722
camelyon17,erm,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.921308815575987,0.20774407267720843,0.06007975532232444,0.00977130689197257,0.06007975532232444,0.00977130689197257
camelyon17,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,29,0.9173701413219837,0.2899748536986462,0.0666462957298944,0.04540872410273335,0.0666462957298944,0.04540872410273335
camelyon17,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.9134549815411386,0.2487976257267663,0.06686686448731191,0.032540363726153064,0.06686686448731191,0.032540363726153064
camelyon17,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.9151009946622146,0.25021689892484295,0.06594712770313925,0.03450946862700535,0.06594712770313925,0.03450946862700535
