regime,n,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci,val_worst_domain_acc_mean,val_worst_domain_acc_ci,val_worst_domain_loss_mean,val_worst_domain_loss_ci,test_worst_domain_acc_mean,test_worst_domain_acc_ci,test_worst_domain_loss_mean,test_worst_domain_loss_ci,val_hosp_1_acc_mean,val_hosp_1_acc_ci,test_hosp_2_acc_mean,test_hosp_2_acc_ci,val_hosp_1_loss_mean,val_hosp_1_loss_ci,test_hosp_2_loss_mean,test_hosp_2_loss_ci
erm_finetune,10,0.9323286729314691,0.003046326266198916,0.19353188565814816,0.011101199706453218,0.705191995673337,0.041935017807983914,0.8723047415385492,0.16020927014855554,0.9323286729314691,0.003046326266198916,0.19353188565814816,0.011101199706453218,0.705191995673337,0.041935017807983914,0.8723047415385492,0.16020927014855554,0.9323286729314691,0.003046326266198916,0.705191995673337,0.041935017807983914,0.19353188565814816,0.011101199706453218,0.8723047415385492,0.16020927014855554
erm_focal_g2_cam_finetune,10,0.9302458170983268,0.0027037185712392537,0.21111103748360213,0.008253151293256726,0.6787605521198297,0.036803022893290994,0.5925839343689974,0.06274411782247805,0.9302458170983268,0.0027037185712392537,0.21111103748360213,0.008253151293256726,0.6787605521198297,0.036803022893290994,0.5925839343689974,0.06274411782247805,0.9302458170983268,0.0027037185712392537,0.6787605521198297,0.036803022893290994,0.21111103748360213,0.008253151293256726,0.5925839343689974,0.06274411782247805
erm_labelsmooth_e10_cam_finetune,10,0.9305495072198029,0.00162465809867299,0.20604120637600154,0.005270160802600362,0.7342829261410398,0.02785319299891863,0.5964094367103177,0.07374987423438945,0.9305495072198029,0.00162465809867299,0.20604120637600154,0.005270160802600362,0.7342829261410398,0.02785319299891863,0.5964094367103177,0.07374987423438945,0.9305495072198029,0.00162465809867299,0.7342829261410398,0.02785319299891863,0.20604120637600154,0.005270160802600362,0.5964094367103177,0.07374987423438945
erm_softclip_p95_a10_cam_finetune,10,0.9323315379326151,0.004794553339354539,0.3268220862335688,0.0649283419625426,0.7517412467373669,0.04080784432577474,1.0933659831891964,0.2907729698796645,0.9323315379326151,0.004794553339354539,0.3268220862335688,0.0649283419625426,0.7517412467373669,0.04080784432577474,1.0933659831891964,0.2907729698796645,0.9323315379326151,0.004794553339354539,0.7517412467373669,0.04080784432577474,0.3268220862335688,0.0649283419625426,1.0933659831891964,0.2907729698796645
