suite,seed,proxy_epoch,val_loss_epoch,delta_loss,delta_acc,delta_ece,delta_brier,delta_teacher_tail_cvar
Camelyon17 ERM,0,11,7,0.009241573366420813,0.0031744538763608388,0.0031312142660105957,-0.0014446178601956045,0.96848464012146
Camelyon17 ERM,1,12,5,0.008246498385986706,0.005126155148493794,0.0034684029674082947,-0.0027066916492200083,1.556800127029419
Camelyon17 ERM,2,24,5,0.03298413211009302,0.0018811578526584105,0.0096847931245291,0.00022089513240811098,2.7495222091674787
Camelyon17 ERM,3,10,5,0.006878452797942719,0.0036682578126836507,0.004517799025410302,-0.0020450797057963988,1.1134719848632795
Camelyon17 ERM,4,25,7,0.03456561427775162,-0.0010228795823827852,0.008005284548334102,0.002045225341971199,2.566561222076416
Camelyon17 ERM,5,10,5,0.009195455774696326,0.005079126202177431,0.0046308605083367,-0.002658198393565299,1.166022300720213
Camelyon17 ERM,6,10,6,0.005532825039342104,0.004397206480588833,0.002925467681683197,-0.00253093294921819,1.1048574447631854
Camelyon17 ERM,7,28,5,0.04504237578153453,-0.00027041644131964304,0.012173820566404696,0.0022804044218694974,3.251774549484253
Camelyon17 ERM,8,11,4,0.00738275109739428,0.007642203776424328,0.006222154165619102,-0.004335394056121003,2.015085697174074
Camelyon17 ERM,9,29,4,0.041177227971879865,0.003915159780845001,0.012868360376580297,-0.00022056875741749415,3.598536729812622
Camelyon17 Finetune,0,6,1,0.14197515386712878,0.07621040750581987,-0.01781566087310061,-0.0247988768478324,10.182617425918579
Camelyon17 Finetune,1,1,1,0.0,0.0,0.0,0.0,0.0
Camelyon17 Finetune,2,4,1,-0.494102133137853,0.06820372939544295,-0.0054915184244246,-0.009993845473009702,7.489706993103027
Camelyon17 Finetune,3,1,1,0.0,0.0,0.0,0.0,0.0
Camelyon17 Finetune,4,6,6,0.0,0.0,0.0,0.0,0.0
Camelyon17 Finetune,5,2,2,0.0,0.0,0.0,0.0,0.0
Camelyon17 Finetune,6,2,2,0.0,0.0,0.0,0.0,0.0
Camelyon17 Finetune,7,2,2,0.0,0.0,0.0,0.0,0.0
Camelyon17 Finetune,8,6,1,0.48187360122931144,0.08224186987090554,0.014636231629105004,0.008055405961219592,6.5595703125
Camelyon17 Finetune,9,9,1,-0.03330768834976339,0.08501657770357651,-0.0174096738811043,-0.0229319239391993,10.00917911529541
