suite,level,selection_policy,regime,seed,tag,epoch,chosen_val_overall_loss,chosen_val_overall_acc,chosen_proxy_metric,chosen_proxy_metric_col
camelyon_erm_valacc_selector_sensitivity,P95,val_loss_only,erm_softclip_p95_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.291940452309802,0.911,0.2462969872688767,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,proxy_only,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,22,0.341319149584328,0.9135,0.22319098161909776,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,val_acc_only,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,26,0.3442145211984201,0.9145,0.22640652934568517,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,val_loss_only,erm_softclip_p95_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2976392280481988,0.906,0.2524285919432162,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,proxy_only,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,24,0.3465794279294084,0.9145,0.22405000910433204,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,val_acc_only,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,12,0.3154551514614487,0.9145,0.23292336235525013,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,val_loss_only,erm_softclip_p95_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2929211699983708,0.903,0.2566705196597686,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,proxy_only,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,26,0.3527242100621629,0.913,0.22331775021081135,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,val_acc_only,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,14,0.3194900460961508,0.9145,0.23014598749021256,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P95,val_loss_only,erm_softclip_p95_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2954331232717738,0.903,0.2577191585952986,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,20,0.3225072740780608,0.9135,0.287616655019968,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,25,0.3372208476299905,0.914,0.29216910913197774,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2814208792405747,0.9075,0.32719493966735624,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,19,0.3214073229709412,0.9125,0.28884499948583564,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,23,0.330237786792133,0.916,0.2908241449785183,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2785965742432899,0.9065,0.3268897497805763,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,20,0.3251302031388886,0.912,0.2872510782010491,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,19,0.3224342357738282,0.914,0.2898181739006719,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.2783982522193129,0.9045,0.34832285051672984,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,20,0.3293467115333973,0.9095,0.288262557178276,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,21,0.3237788472131965,0.9145,0.2886928849060323,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.27480460122048,0.9095,0.32407476378980304,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,20,0.3233992847322636,0.9135,0.2869318278583467,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,22,0.3280030195626403,0.9145,0.2888314979185609,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2791743262886273,0.9065,0.3280934708530573,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,23,0.330156768137086,0.9105,0.2874422654539732,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,25,0.3363897075961516,0.9145,0.28945891540206453,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.2781643412982707,0.9065,0.3509165546429247,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,21,0.3224575493118242,0.9135,0.2868485233566736,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,22,0.3303226962711368,0.914,0.2887055291881984,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,6,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.274237442942248,0.9095,0.3195765872814893,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,20,0.3249146511374869,0.913,0.28782962802577244,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,26,0.3382471735363345,0.915,0.2907637815507203,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,7,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2795633654756269,0.9075,0.3287683623445822,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,23,0.3362217093854891,0.91,0.2865478602053876,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,21,0.3260457864318298,0.9155,0.28923518014362914,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2783094183814104,0.9075,0.32457676014639736,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,proxy_only,erm_softclip_p97_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,22,0.3267116629254195,0.913,0.28808657953956385,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_acc_only,erm_softclip_p97_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,28,0.3452645227111575,0.915,0.2919047443994562,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P97,val_loss_only,erm_softclip_p97_a10_cam,9,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2785517369808382,0.906,0.328250824513255,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,proxy_only,erm_softclip_p99_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.2606487482651446,0.906,0.407180208289982,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_acc_only,erm_softclip_p99_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,19,0.2959191904197175,0.9115,0.4166379735596234,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_loss_only,erm_softclip_p99_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.252234261716925,0.907,0.42809335843995666,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,proxy_only,erm_softclip_p99_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,13,0.2844369108446151,0.907,0.4068786946675226,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_acc_only,erm_softclip_p99_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,27,0.3042161267860676,0.9135,0.4322824911841768,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_loss_only,erm_softclip_p99_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.249888647443046,0.906,0.4481797653227987,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,proxy_only,erm_softclip_p99_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.2615893434359669,0.905,0.4028429591070085,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_acc_only,erm_softclip_p99_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,29,0.3106302043754407,0.9125,0.4353899768718642,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_loss_only,erm_softclip_p99_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,3,0.249206925438768,0.9015,0.43961980764154895,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,proxy_only,erm_softclip_p99_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,11,0.2708029989876646,0.908,0.4038614983801262,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_acc_only,erm_softclip_p99_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,29,0.3099503695028574,0.913,0.433156613654099,proxy_worst_loss_clip_min
camelyon_erm_valacc_selector_sensitivity,P99,val_loss_only,erm_softclip_p99_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,2,0.248757438378298,0.9,0.46818835246379387,proxy_worst_loss_clip_min
