suite,suite_label,seed,baseline_regime,softclip_regime,baseline_tag,softclip_tag,baseline_epoch,softclip_epoch,clip_loss,clip_alpha,baseline_val_loss,softclip_val_loss,baseline_proxy_ce,softclip_proxy_ce,baseline_proxy_clip,softclip_proxy_clip,delta_clip_proxy_soft_minus_base,delta_val_loss_soft_minus_base,test_hosp_2_loss_baseline,test_hosp_2_loss_softclip,delta_test_hosp_2_loss_soft_minus_base,test_hosp_2_acc_baseline,test_hosp_2_acc_softclip,delta_test_hosp_2_acc_soft_minus_base,test_ece_baseline,test_ece_softclip,delta_test_ece_soft_minus_base,test_brier_baseline,test_brier_softclip,delta_test_brier_soft_minus_base,oracle_wg_acc_baseline,oracle_wg_acc_softclip,delta_oracle_wg_acc_soft_minus_base,worst_cell_cvar_baseline,worst_cell_cvar_softclip,delta_worst_cell_cvar_soft_minus_base,worst_cell_mean_loss_baseline,worst_cell_mean_loss_softclip,delta_worst_cell_mean_loss_soft_minus_base
camelyon_erm,Camelyon17 ERM,0,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,11,0.6429402083,0.1,0.2367297864091579,0.3129881951833019,0.7606988546508615,1.160835347035449,0.610129416083916,0.5426662073907755,-0.0674632086931404,0.0762584087741439,0.2112382540872498,0.2534639729552981,0.0422257188680482,0.918733980765161,0.9222729089754744,0.0035389282103134,0.0105408906444485,0.0447268775971654,0.0341859869527169,0.0616298432719979,0.0655458942819072,0.0039160510099092,0.9056994818652848,0.8994818652849741,-0.0062176165803107,5.769129395484924,10.878360271453856,5.109230875968931,4.086228648200631,7.600602559745312,3.5143739115446806
camelyon_erm,Camelyon17 ERM,1,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,12,0.6429402083,0.1,0.2381419170456062,0.3153247772513065,0.7675120773815339,1.2143700942597402,0.6204756783282902,0.5445718264556518,-0.0759038518726383,0.0771828602057002,0.2111803733533739,0.2570778672845123,0.0458974939311384,0.9185105932701578,0.920697439273873,0.0021868460037152,0.0104320984666615,0.0436698612025731,0.0332377627359116,0.0617474937015941,0.0649645520255901,0.0032170583239959,0.9082125603864736,0.9046632124352332,-0.0035493479512404,5.833758115768433,10.816555738449097,4.982797622680664,4.130028296262026,7.677300568670034,3.547272272408009
camelyon_erm,Camelyon17 ERM,2,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,24,0.6429402083,0.1,0.2418289505483668,0.3432509692522442,0.7813352214232567,1.4806471655683708,0.6105297410299839,0.5459978261722458,-0.0645319148577381,0.1014220187038773,0.2096324002338377,0.2768781483397844,0.0672457481059467,0.9196863169280692,0.9196392879817528,-4.702894631647414e-05,0.01075971696893,0.0429503033006121,0.0321905863316821,0.0610741434707866,0.0642389015093533,0.0031647580385666,0.9046632124352332,0.9072463768115944,0.0025831643763611,5.903249621391296,12.00706911087036,6.103819489479063,4.1720202676951885,8.525671683251858,4.353651415556669
camelyon_erm,Camelyon17 ERM,3,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,10,0.6429402083,0.1,0.2354856098040461,0.3069219958588634,0.7661036757546553,1.1957538854626195,0.5996025373757559,0.5378474341929944,-0.0617551031827614,0.0714363860548172,0.2164328607553885,0.2551129003632645,0.038680039607876,0.9159122439861734,0.9193806287770122,0.0034683847908387,0.0108137278671596,0.0412495299579787,0.0304358020908191,0.0636365957336895,0.0633192482297968,-0.0003173475038927,0.9015544041450776,0.9015544041450776,0.0,5.544679284095764,10.468909978866575,4.924230694770811,3.911527846008539,7.260334216058254,3.348806370049715
camelyon_erm,Camelyon17 ERM,4,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,25,0.6429402083,0.1,0.2373238833539832,0.3537896082304915,0.770088273703411,1.5520973684797903,0.6097766818446761,0.5432619075556908,-0.0665147742889853,0.1164657248765082,0.2116145925094234,0.279629579608808,0.0680149870993846,0.9182754485385756,0.9192630564112212,0.0009876078726456,0.0103597968685302,0.0432985911906139,0.0329387943220837,0.0618563282499871,0.0646835370846878,0.0028272088347006,0.9046632124352332,0.9014492753623188,-0.0032139370729143,5.784537076950073,12.32553482055664,6.540997743606567,4.074474943801761,8.780066944658756,4.705592000856996
camelyon_erm,Camelyon17 ERM,5,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,8,10,0.6429402083,0.1,0.2426199209020804,0.3050747612426779,0.7642767304935122,1.1159289246172173,0.6295533040728423,0.5370119866275216,-0.0925413174453206,0.0624548403405975,0.2105179825649555,0.254679393024607,0.0441614104596515,0.9202389070472876,0.9210266418980882,0.0007877348508006,0.0105730524502764,0.04166940540234,0.0310963529520636,0.0610478179237626,0.0634247808586987,0.002376962934936,0.9067357512953368,0.900518134715026,-0.0062176165803108,6.143407940864563,10.396838426589966,4.253430485725403,4.4293401055037975,7.280138958245516,2.8507988527417183
camelyon_erm,Camelyon17 ERM,6,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,10,0.6429402083,0.1,0.2340436412429113,0.305116647715009,0.766048548741308,1.1273938085918904,0.6000767462466341,0.5398611874761318,-0.0602155587705023,0.0710730064720977,0.2109608746123543,0.2543402394925337,0.0433793648801794,0.918322477484892,0.9207797399299268,0.0024572624450347,0.0109947790158845,0.04440537873716,0.0334105997212755,0.0611486312604541,0.0646838408035133,0.0035352095430592,0.9015544041450776,0.9025906735751296,0.0010362694300519,5.472710490226746,10.486512660980225,5.013802170753479,3.858810927718878,7.24113230779767,3.382321380078793
camelyon_erm,Camelyon17 ERM,7,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,28,0.6429402083,0.1,0.2371885478270825,0.3579067971128268,0.7606057043758131,1.5830019804808655,0.6109338307957003,0.5394807639319459,-0.0714530668637544,0.1207182492857442,0.2081872920246982,0.2897198979834825,0.0815326059587843,0.920685682037294,0.9173466268488254,-0.0033390551884685,0.0102524972582439,0.0452821635192328,0.0350296662609889,0.0604514444732902,0.0664532771899069,0.0060018327166167,0.9015544041450776,0.9033816425120772,0.0018272383669996,5.799160718917847,12.607523679733276,6.80836296081543,4.127835664898157,8.943758361041546,4.815922696143389
camelyon_erm,Camelyon17 ERM,8,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,11,0.6429402083,0.1,0.2363274751983838,0.3109862712125626,0.7702622462905222,1.2190843566594975,0.6124061648316017,0.54175431472819,-0.0706518501034116,0.0746587960141788,0.2136190916538461,0.2533972456169364,0.0397781539630902,0.9174406847414583,0.921191243210196,0.0037505584687376,0.0113433779071385,0.0373631665262769,0.0260197886191384,0.062616919655855,0.0612547107876553,-0.0013622088681997,0.9088082901554404,0.9056994818652848,-0.0031088082901555,5.787504315376282,10.676326036453249,4.888821721076967,4.149298492819071,7.434251397848129,3.2849529050290585
camelyon_erm,Camelyon17 ERM,9,erm,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,29,0.6429402083,0.1,0.2386477065822012,0.357770153670146,0.7517789807210686,1.5882227293701852,0.6239846259487755,0.5456443508007998,-0.0783402751479757,0.1191224470879448,0.2077440726772084,0.2899748536986462,0.0822307810214377,0.921308815575987,0.9173701413219836,-0.0039386742540034,0.0102195119034277,0.0430528978338822,0.0328333859304545,0.0609054465849782,0.0641280360382022,0.003222589453224,0.9036269430051812,0.9004830917874396,-0.0031438512177416,6.003708124160767,12.392940998077393,6.389232873916626,4.332524672150612,8.821852661669254,4.489327989518642
