selector,n,test_overall_acc_mean,test_overall_acc_ci,test_overall_loss_mean,test_overall_loss_ci,test_wilds_wg_acc_mean,test_wilds_wg_acc_ci,test_wilds_wg_loss_mean,test_wilds_wg_loss_ci,test_ece_mean,test_ece_ci,test_wilds_wg_ece_mean,test_wilds_wg_ece_ci,test_brier_mean,test_brier_ci,test_wilds_wg_brier_mean,test_wilds_wg_brier_ci,test_overall_acc_delta_vs_baseline_mean,test_overall_acc_delta_vs_baseline_ci,test_overall_loss_delta_vs_baseline_mean,test_overall_loss_delta_vs_baseline_ci,test_wilds_wg_acc_delta_vs_baseline_mean,test_wilds_wg_acc_delta_vs_baseline_ci,test_wilds_wg_loss_delta_vs_baseline_mean,test_wilds_wg_loss_delta_vs_baseline_ci,test_ece_delta_vs_baseline_mean,test_ece_delta_vs_baseline_ci,test_wilds_wg_ece_delta_vs_baseline_mean,test_wilds_wg_ece_delta_vs_baseline_ci,test_brier_delta_vs_baseline_mean,test_brier_delta_vs_baseline_ci,test_wilds_wg_brier_delta_vs_baseline_mean,test_wilds_wg_brier_delta_vs_baseline_ci
baseline,10,0.9254600768414285,0.0025344333323146203,0.1868525967001915,0.003456322370273283,0.4807656510668189,0.05042690101334444,1.2210071504116058,0.13394748367969306,0.017849834045385888,0.005232521388389218,0.3225156929506322,0.05188143023983942,0.05527660356491709,0.0012771126610929863,0.3713565910758204,0.03641036859032823,,,,,,,,,,,,,,,,
fixed10_baseline,10,0.9175681332316754,0.0010566398795471325,0.5628167867660523,0.024675259450763515,0.45618631883002864,0.020935395610008345,4.199541330337524,0.42399454830622874,0.07958770793035394,0.001178297932429913,0.5333464832838483,0.0199802156846237,0.08033873545720363,0.0010486349747774893,0.5317719819085677,0.019088901312980928,-0.007891943609753172,0.0026833998931771893,0.37596419006586074,0.02399707151516512,-0.02457933223679027,0.06067568137635925,2.9785341799259184,0.4900160554751408,0.061737873884968056,0.0050515435122014535,0.21083079033321606,0.06346018666024816,0.025062131892286538,0.0016009469000329401,0.1604153908327473,0.04838859600888983
fixed10_softclip,10,0.9147845001569717,0.0014791580714996766,0.6126013398170471,0.02371626795922402,0.48447933159544176,0.013588453266904964,4.323497319221497,0.2694599233479344,0.08316792654289787,0.001390313060019836,0.508702535380299,0.013582663488520707,0.0834589973735779,0.001372380865684471,0.5087681682783687,0.013837259507324878,-0.010675576684456789,0.002379215602178731,0.4257487431168556,0.02325437868434109,0.0037136805286228534,0.04709489464941668,3.102490168809891,0.2288551727239758,0.06531809249751197,0.005878815658493024,0.1861868424296666,0.049017838020768985,0.028182393808660815,0.0014436479565335726,0.13741157720254835,0.03256637011484068
guardrail_1.25,10,0.9254600768414285,0.0025344333323146203,0.1868525967001915,0.003456322370273283,0.4807656510668189,0.05042690101334444,1.2210071504116058,0.13394748367969306,0.017849834045385888,0.005232521388389218,0.3225156929506322,0.05188143023983942,0.05527660356491709,0.0012771126610929863,0.3713565910758204,0.03641036859032823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_only,10,0.9208249241303015,0.0021270200979492224,0.34177770018577575,0.03718817465221334,0.5137182601595632,0.03230698375622246,2.2283127784729,0.22672020288860223,0.07115783708763466,0.0036571356739785016,0.4610442390126832,0.02966598347450031,0.07433750103404645,0.002649009566838081,0.4573523561491525,0.02736525597518543,-0.004635152711127066,0.0017771972614955792,0.15492510348558425,0.036720806398815406,0.03295260909274431,0.058040619971705294,1.0073056280612946,0.30281919574864125,0.053308003042248774,0.007241756015543684,0.13852854606205106,0.063607829968296,0.01906089746912936,0.0021273979549983517,0.08599576507333209,0.04878734211092466
val_loss_only,10,0.9232699466295913,0.0010279653055994098,0.2830641359090805,0.015036256966175771,0.42241862669494257,0.06151593100776005,2.1396385550498964,0.13613639083136062,0.06490557235482239,0.002103647917962424,0.5381111984661552,0.056420670294291105,0.07013898056472948,0.0012267129708152273,0.5270010673166546,0.04992477291717817,-0.0021901302118371934,0.003085098699514358,0.096211539208889,0.01449738721034944,-0.058347024371876374,0.09076447070411539,0.9186314046382904,0.19504079205124988,0.047055738309436504,0.004447353107688676,0.21559550551552298,0.09241504952586416,0.014862376999812372,0.0021073516196346265,0.1556444762408343,0.07380369097761712
