regime,n,proxy_worst_loss_clip_mean,proxy_worst_loss_clip_ci,proxy_worst_loss_mean,proxy_worst_loss_ci,tail_worst_cvar_mean,tail_worst_cvar_ci,oracle_wg_acc_mean,oracle_wg_acc_ci,val_overall_acc_mean,val_overall_acc_ci,frac_clipped_val_mean,frac_clipped_val_ci
erm,10,,,2.354252064487744,0.10734655320540042,25.22121579647064,1.2144437757576183,0.2967032967032967,0.02321479120328771,0.8763500000000001,0.003176882164953546,,
erm_softclip_p95_a10,10,0.5792282424818521,0.0318691332327769,2.0602638378291918,0.08632208646627157,19.294529271125793,1.3456527107955776,0.27032967032967026,0.023639710623595794,0.8811500000000001,0.0028113686506753143,0.11505000000000001,0.0026034845899294266
erm_softclip_p97_a10,10,0.728273492037049,0.03387173017297889,2.044063866733275,0.14839138819386702,20.017599010467528,1.3039920741616102,0.2846153846153846,0.039293858896000226,0.8821999999999999,0.00370228588307278,0.10455,0.0037223858222919333
erm_softclip_p99_a10,10,1.0530651616774935,0.05130050578816683,2.223847958182893,0.11422085674555818,22.19842677116394,1.204773553408035,0.2824175824175824,0.02588539892586207,0.8797,0.0025856813724819323,0.08695,0.003196506500853703
