regime,n,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci,val_worst_domain_acc_mean,val_worst_domain_acc_ci,val_worst_domain_loss_mean,val_worst_domain_loss_ci,test_worst_domain_acc_mean,test_worst_domain_acc_ci,test_worst_domain_loss_mean,test_worst_domain_loss_ci,val_hosp_1_acc_mean,val_hosp_1_acc_ci,test_hosp_2_acc_mean,test_hosp_2_acc_ci,val_hosp_1_loss_mean,val_hosp_1_loss_ci,test_hosp_2_loss_mean,test_hosp_2_loss_ci
erm,10,0.9067614027045611,0.000545058487558291,0.23473669865580032,0.001982460560872747,0.9189115150375056,0.001152406482318791,0.2111127794472336,0.0018053858592242066,0.9067614027045611,0.000545058487558291,0.23473669865580032,0.001982460560872747,0.9189115150375056,0.001152406482318791,0.2111127794472336,0.0018053858592242066,0.9067614027045611,0.000545058487558291,0.9189115150375056,0.001152406482318791,0.23473669865580032,0.001982460560872747,0.2111127794472336,0.0018053858592242066
erm_softclip_p95_a10_cam,10,0.9079102681641071,0.0005086413619564635,0.32189950531615025,0.014943582162415028,0.9198967714628352,0.0011593075317496385,0.26642740983678725,0.011229085009544747,0.9079102681641071,0.0005086413619564635,0.32189950531615025,0.014943582162415028,0.9198967714628352,0.0011593075317496385,0.26642740983678725,0.011229085009544747,0.9079102681641071,0.0005086413619564635,0.9198967714628352,0.0011593075317496385,0.32189950531615025,0.014943582162415028,0.26642740983678725,0.011229085009544747
erm_softclip_p97_a10_cam,10,0.9078329131331653,0.000419770716586025,0.31448153211058727,0.007906245169003793,0.9180497095962565,0.000817921826793475,0.26350107564993036,0.005884431266076089,0.9078329131331653,0.000419770716586025,0.31448153211058727,0.007906245169003793,0.9180497095962565,0.000817921826793475,0.26350107564993036,0.005884431266076089,0.9078329131331653,0.000419770716586025,0.9180497095962565,0.000817921826793475,0.31448153211058727,0.007906245169003793,0.26350107564993036,0.005884431266076089
erm_softclip_p99_a10_cam,10,0.9071195278478111,0.0007694384843378245,0.2484961224367081,0.002687491659091202,0.918054412490888,0.0010878627168035377,0.21934918217218677,0.0013938727217154276,0.9071195278478111,0.0007694384843378245,0.2484961224367081,0.002687491659091202,0.918054412490888,0.0010878627168035377,0.21934918217218677,0.0013938727217154276,0.9071195278478111,0.0007694384843378245,0.918054412490888,0.0010878627168035377,0.2484961224367081,0.002687491659091202,0.21934918217218677,0.0013938727217154276
