suite,target_regime,baseline_regime,seed,baseline_epoch,baseline_tag,baseline_val_overall_loss,baseline_proxy_metric,budget_mode,budget_value,budget_threshold,selection_policy,regime,tag,epoch,chosen_val_overall_loss,chosen_val_overall_acc,chosen_proxy_metric,chosen_proxy_metric_col,fallback_to_baseline,feasible_target_epochs
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,3,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2354856098040461,0.7661036757546553,ratio,1.25,0.2943570122550576,baseline,erm,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2354856098040461,0.9075,0.7661036757546553,proxy_worst_loss_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,3,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2354856098040461,0.7661036757546553,ratio,1.25,0.2943570122550576,proxy_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,10,0.3069219958588634,0.9115,0.5378474341929944,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,3,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2354856098040461,0.7661036757546553,none,,,val_loss_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.296663198316927,0.906,0.565066132446089,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,3,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2354856098040461,0.7661036757546553,ratio,1.25,0.2943570122550576,guardrail,erm,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2354856098040461,0.9075,0.7661036757546553,proxy_worst_loss_min,True,0
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,4,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2373238833539832,0.770088273703411,ratio,1.25,0.296654854192479,baseline,erm,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2373238833539832,0.9065,0.770088273703411,proxy_worst_loss_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,4,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2373238833539832,0.770088273703411,ratio,1.25,0.296654854192479,proxy_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,25,0.3537896082304915,0.912,0.5432619075556908,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,4,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2373238833539832,0.770088273703411,none,,,val_loss_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.2960300258200189,0.9095,0.5442530180346401,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,4,5,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2373238833539832,0.770088273703411,ratio,1.25,0.296654854192479,guardrail,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.2960300258200189,0.9095,0.5442530180346401,proxy_worst_loss_clip_min,False,3
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,5,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2426199209020804,0.7642767304935122,ratio,1.25,0.3032749011276004,baseline,erm,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,8,0.2426199209020804,0.9115,0.7642767304935122,proxy_worst_loss_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,5,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2426199209020804,0.7642767304935122,ratio,1.25,0.3032749011276004,proxy_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,10,0.3050747612426779,0.914,0.5370119866275216,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,5,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2426199209020804,0.7642767304935122,none,,,val_loss_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,5,0.2937853518690207,0.9045,0.5638605072045576,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,5,8,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2426199209020804,0.7642767304935122,ratio,1.25,0.3032749011276004,guardrail,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,7,0.299603953762912,0.908,0.5519828589134286,proxy_worst_loss_clip_min,False,6
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,6,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2340436412429113,0.766048548741308,ratio,1.25,0.2925545515536391,baseline,erm,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,4,0.2340436412429113,0.9045,0.766048548741308,proxy_worst_loss_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,6,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2340436412429113,0.766048548741308,ratio,1.25,0.2925545515536391,proxy_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,10,0.305116647715009,0.9145,0.5398611874761318,proxy_worst_loss_clip_min,False,30
camelyon_erm_p95,erm_softclip_p95_a10_cam,erm,6,4,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.2340436412429113,0.766048548741308,none,,,val_loss_only,erm_softclip_p95_a10_cam,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,6,0.291940452309802,0.911,0.5466939513162867,proxy_worst_loss_clip_min,False,30
