suite_label,metric,n,mean,ci_low,ci_high
Camelyon17 ERM,proxy_clip,10,-0.07093709212262281,-0.07689335928311555,-0.06591191131308591
Camelyon17 ERM,val_loss,10,0.08907927378156098,0.07620841998156035,0.10343182107475961
Camelyon17 ERM,test_loss,10,0.0553146303895537,0.045487638742067356,0.06584672265170903
Camelyon17 ERM,tail_cvar,10,5.501472663879394,5.002468568682671,6.040318492054939
Camelyon17 ERM,ece,10,0.032137872591713426,0.03043217345326759,0.03343699617754739
Camelyon17 ERM,brier,10,0.0026582114482915802,0.0013864530786458435,0.0038230765618762898
Camelyon17 ERM,test_acc,10,0.0009852564253297427,-0.0006925600206928047,0.0024866555364826243
Camelyon17 Finetune,proxy_clip,10,-0.014080618583920628,-0.03767894981455227,0.011881515502135365
Camelyon17 Finetune,val_loss,10,0.12289494507610792,0.07537370550200338,0.17328300071895117
Camelyon17 Finetune,test_loss,10,0.6185242155409866,0.33110690033775786,0.9257713550756286
Camelyon17 Finetune,tail_cvar,10,6.2263586044311525,3.4939230561256407,9.068920179307456
Camelyon17 Finetune,ece,10,0.02139113328389914,0.01778643422660453,0.024893104193519602
Camelyon17 Finetune,brier,10,0.0006126175117355701,-0.0033418559827510124,0.005079181737675368
Camelyon17 Finetune,test_acc,10,0.025108754438356827,-0.02178248524466805,0.07003491899263996
CivilComments,proxy_clip,10,-0.014328311544055552,-0.015064082423310924,-0.013471783328770843
CivilComments,val_loss,10,0.060932572586561574,0.05831342095212351,0.06383842277464093
CivilComments,test_loss,10,0.10371872186660765,0.10024539358913893,0.10705081999301906
CivilComments,tail_cvar,0,,,
CivilComments,ece,10,0.07008042204344707,0.06847861706847816,0.07139799335865345
CivilComments,brier,10,0.01383996751232561,0.013360567105324603,0.014263052751878088
CivilComments,test_acc,10,-0.00398708346414313,-0.004477433436486221,-0.0034032792154399818
CivilComments,wilds_wg_loss,10,1.8291770696640015,1.7852787163853645,1.870997402369976
CivilComments,wilds_wg_acc,10,-0.14737886382623222,-0.15452380952380954,-0.13936507936507936
CivilComments,wilds_wg_ece,10,0.30408617049251724,0.29524283113569344,0.312621522375411
CivilComments,wilds_wg_brier,10,0.300299709746933,0.2944633892816686,0.30609797370285197
