objective,policy,n,fixed_tail_loss_mean,own_tail_cvar_mean,overall_loss_mean,delta_fixed_tail_loss_mean,delta_fixed_tail_loss_ci,delta_fixed_tail_loss_pos_count,delta_own_tail_cvar_mean,delta_own_tail_cvar_ci,delta_own_tail_cvar_pos_count,delta_overall_loss_mean,delta_overall_loss_ci,delta_overall_loss_pos_count
SoftClip P95,baseline,10,1.4821962194243774,1.4821962194243774,0.21111277976648704,,,,,,,,,
SoftClip P95,proxy,10,2.4240592954506868,2.467870619268992,0.2664274095228476,0.9418630760263096,0.10591347210227385,10.0,0.9856743998446144,0.1216407097653042,10.0,0.05531462975636059,0.012527410869234278,10.0
GCE q=0.7,baseline,10,1.4440332891877374,1.4440332891877374,0.21350756750096514,,,,,,,,,
GCE q=0.7,proxy,10,2.3396654174672795,2.3898675340892757,0.2584530742179279,0.8956321282795422,0.06338078970461862,10.0,0.9458342449015384,0.07337300358705465,10.0,0.04494550671696275,0.007493852543798157,10.0
