"regime","n","val_acc_mean","val_acc_ci","val_loss_mean","val_loss_ci","test_acc_mean","test_acc_ci","test_loss_mean","test_loss_ci","val_worst_domain_acc_mean","val_worst_domain_acc_ci","val_worst_domain_loss_mean","val_worst_domain_loss_ci","test_worst_domain_acc_mean","test_worst_domain_acc_ci","test_worst_domain_loss_mean","test_worst_domain_loss_ci","val_hosp_1_acc_mean","val_hosp_1_acc_ci","test_hosp_2_acc_mean","test_hosp_2_acc_ci","val_hosp_1_loss_mean","val_hosp_1_loss_ci","test_hosp_2_loss_mean","test_hosp_2_loss_ci"
"rcgdro_finetune","10","0.9281199862479944","0.005064480190903624","0.9689748129103917","0.6943272560401264","0.7252651256848591","0.047129790876419296","1.563934939221212","0.48582912619369195","0.9281199862479944","0.005064480190903624","0.9689748129103917","0.6943272560401264","0.7252651256848591","0.047129790876419296","1.563934939221212","0.48582912619369195","0.9281199862479944","0.005064480190903624","0.7252651256848591","0.047129790876419296","0.9689748129103917","0.6943272560401264","1.563934939221212","0.48582912619369195"
"rcgdro_softclip_p95_a10_cam_finetune","10","0.9284895713958286","0.006473096275054703","3.4840030874154997","4.798931849366671","0.7282820325910597","0.055971158748730904","2.0553998105568434","0.5761190847670437","0.9284895713958286","0.006473096275054703","3.4840030874154997","4.798931849366671","0.7282820325910597","0.055971158748730904","2.0553998105568434","0.5761190847670437","0.9284895713958286","0.006473096275054703","0.7282820325910597","0.055971158748730904","3.4840030874154997","4.798931849366671","2.0553998105568434","0.5761190847670437"
"rcgdro_softclip_p97_a10_cam_finetune","10","0.9283434563373826","0.0034959854460262147","0.6115874326210281","0.08977626482877081","0.6796670350600794","0.0271411894510457","2.1549260372388055","0.3208057887053362","0.9283434563373826","0.0034959854460262147","0.6115874326210281","0.08977626482877081","0.6796670350600794","0.0271411894510457","2.1549260372388055","0.3208057887053362","0.9283434563373826","0.0034959854460262147","0.6796670350600794","0.0271411894510457","0.6115874326210281","0.08977626482877081","2.1549260372388055","0.3208057887053362"
"rcgdro_softclip_p99_a10_cam_finetune","10","0.9302916571166628","0.006768478427642821","0.5244095518332037","0.09498683895485113","0.7528381969101983","0.051361281377915506","1.309094496514563","0.3731513000556777","0.9302916571166628","0.006768478427642821","0.5244095518332037","0.09498683895485113","0.7528381969101983","0.051361281377915506","1.309094496514563","0.3731513000556777","0.9302916571166628","0.006768478427642821","0.7528381969101983","0.051361281377915506","0.5244095518332037","0.09498683895485113","1.309094496514563","0.3731513000556777"
