case,fixed_horizon,n,selected_loss_delta,fixed_loss_delta,selected_rel_delta,fixed_rel_delta,rel_label,verdict
Camelyon17 ERM,ep30,10,0.05531463038955359,0.05321728571932638,5.501472663879395,5.434138011932373,tail CVaR,Persistent
Camelyon17 Finetune,ep10,10,0.6185242155409868,0.4914648713356313,6.226358604431152,210.21020410060882,tail CVaR,Persistent
Frozen CivilComments,ep30,10,0.10371872186660763,0.1243524998426438,1.8291770696640022,1.9234196186065675,WILDS WG loss,Persistent
ACSIncome,ep50,10,0.02710509300231932,0.016829231381416326,0.3761466026306154,0.28388333320617665,tail MSE,Persistent
