epoch,regime,seed,tag,test_acc,test_hosp_2_acc,test_hosp_2_loss,test_loss,test_worst_domain_acc,test_worst_domain_loss,val_acc,val_hosp_1_acc,val_hosp_1_loss,val_loss,val_worst_domain_acc,val_worst_domain_loss
28,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.918534107743316,0.918534107743316,0.2865686241074203,0.2865686241074203,0.918534107743316,0.2865686241074203,0.9072026128810452,0.9072026128810452,0.34778253054122676,0.34778253054122676,0.9072026128810452,0.34778253054122676
26,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9214969313612529,0.9214969313612529,0.2789234268958922,0.2789234268958922,0.9214969313612529,0.2789234268958922,0.9077469630987852,0.9077469630987852,0.34370197048390555,0.34370197048390555,0.9077469630987852,0.34370197048390555
7,erm_softclip_p95_a10_cam,0,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9190984550991135,0.9190984550991135,0.24422239958887734,0.24422239958887734,0.9190984550991135,0.24422239958887734,0.906343112537245,0.906343112537245,0.29247175212309434,0.29247175212309434,0.906343112537245,0.29247175212309434
21,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9212147576833541,0.9212147576833541,0.272111808350133,0.272111808350133,0.9212147576833541,0.272111808350133,0.9084345633738253,0.9084345633738253,0.33221691781294,0.33221691781294,0.9084345633738253,0.33221691781294
18,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9216732899099396,0.9216732899099396,0.26491681061466804,0.26491681061466804,0.9216732899099396,0.26491681061466804,0.9073458629383452,0.9073458629383452,0.33218717729716835,0.33218717729716835,0.9073458629383452,0.33218717729716835
5,erm_softclip_p95_a10_cam,1,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9155712841253791,0.9155712841253791,0.24883136889852564,0.24883136889852564,0.9155712841253791,0.24883136889852564,0.9034208113683245,0.9034208113683245,0.2907552952954175,0.2907552952954175,0.9034208113683245,0.2907552952954175
24,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9196392879817528,0.9196392879817528,0.2768781483397844,0.2768781483397844,0.9196392879817528,0.2768781483397844,0.9076610130644053,0.9076610130644053,0.33646004729203066,0.33646004729203066,0.9076610130644053,0.33646004729203066
13,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9228960425141675,0.9228960425141675,0.2543720787095551,0.2543720787095551,0.9228960425141675,0.2543720787095551,0.9087497134998854,0.9087497134998854,0.311286308735382,0.311286308735382,0.9087497134998854,0.311286308735382
5,erm_softclip_p95_a10_cam,2,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9177581301290945,0.9177581301290945,0.24389401622969142,0.24389401622969142,0.9177581301290945,0.24389401622969142,0.9030197112078845,0.9030197112078845,0.2905590205865043,0.2905590205865043,0.9030197112078845,0.2905590205865043
21,erm_softclip_p95_a10_cam,3,h0_do0.0_lr0.001_wd0.0001_bs512_ep30_v11ermsoftclipfix_cam_10s,0.9211677287370377,0.9211677287370377,0.27096563517546496,0.27096563517546496,0.9211677287370377,0.27096563517546496,0.9089216135686454,0.9089216135686454,0.3295387053567913,0.3295387053567913,0.9089216135686454,0.3295387053567913
