dataset,label,n,early_rw_mean,early_rw_ci,late_rw_mean,late_rw_ci,delta_rw_mean,delta_rw_ci,early_gap_mean,early_gap_ci,late_gap_mean,late_gap_ci,delta_gap_mean,delta_gap_ci,trend
camelyon17,Camelyon17 ERM P95,10,0.2774995498758196,0.0029901427871768744,0.18681575044584436,0.0018537307203220878,-0.09068379942997522,0.0032096804028579687,0.7059617627980791,0.003576258420365518,0.8010222482025302,0.0027174254342810285,0.09506048540445103,0.004159239402185732,entrenches
celeba,CelebA ERM P95,10,0.19572729628160884,0.012870053580433053,0.2981069218944831,0.011469903200406686,0.10237962561287435,0.016800727345331102,0.9184027751071048,0.007198390249233975,0.831662004739697,0.010490978996442756,-0.08674077036740771,0.012914735744578494,relaxes
