dataset,bank,regime,n,delta_proxy_mean,delta_proxy_ci,delta_tail_mean,delta_tail_ci,proxy_improves_frac,tail_worsens_frac,decoupling_frac
Camelyon17 finetune selected,A,P95,10,-0.6050420465968249,0.17390252297675382,6.430241978168487,3.8229831934411425,1.0,0.9,0.9
Camelyon17 finetune selected,A,P97,10,-0.5284589438651777,0.17377240809159616,5.409117341041565,2.318671593223799,1.0,1.0,1.0
Camelyon17 finetune selected,A,P99,10,-0.35864299775675784,0.14382830078494133,5.743767178058624,4.475732144903297,1.0,1.0,1.0
Camelyon17 finetune selected,B,P95,10,-0.457833176846405,0.09623388699603555,6.022475230693817,3.058012172969497,1.0,0.9,0.9
Camelyon17 finetune selected,B,P97,10,-0.3912446736731364,0.0848656746791447,5.483579015731811,2.205431174422226,1.0,0.9,0.9
Camelyon17 finetune selected,B,P99,10,-0.260566541926992,0.07561540819607743,5.6527018547058105,4.629645876381952,1.0,1.0,1.0
