regime,n,proxy_worst_loss_clip_mean,proxy_worst_loss_clip_ci,proxy_worst_loss_mean,proxy_worst_loss_ci,tail_worst_cvar_mean,tail_worst_cvar_ci,oracle_wg_acc_mean,oracle_wg_acc_ci,val_overall_acc_mean,val_overall_acc_ci,frac_clipped_val_mean,frac_clipped_val_ci
rcgdro_finetune,10,,,0.9153655236629898,0.07434573791806201,7.25247415304184,0.7280364768075491,0.906665665440164,0.012203568684719321,0.92645,0.004581597102539685,,
rcgdro_softclip_p95_a10_cam_finetune,10,0.3303114789261027,0.014924176028978,1.5896432724410807,0.21021054520166663,13.478832757472992,3.00938814126379,0.9186173062000951,0.01101462477058666,0.9331000000000002,0.0044313138728824045,0.06825,0.004222568300217297
rcgdro_softclip_p99_a10_cam_finetune,10,0.576232457932942,0.023173848402383113,1.350518637732753,0.38318556741254395,12.950708669424056,4.667490207026578,0.9224990613501538,0.005657199958771043,0.9347,0.0031551093736984556,0.04309999999999999,0.004545313128927423
