regime,n,proxy_worst_loss_clip_mean,proxy_worst_loss_clip_ci,proxy_worst_loss_mean,proxy_worst_loss_ci,tail_worst_cvar_mean,tail_worst_cvar_ci,oracle_wg_acc_mean,oracle_wg_acc_ci,val_overall_acc_mean,val_overall_acc_ci,frac_clipped_val_mean,frac_clipped_val_ci
erm,10,,,0.7658710313535942,0.00477689218427876,5.80418450832367,0.12129974670327243,0.9047072664013415,0.0016682061092591835,0.9083500000000001,0.0013472772543170163,,
erm_softclip_p95_a10_cam,10,0.5418097805331948,0.001967153115609712,1.3237335660525624,0.12422013716561753,11.305657172203064,0.5629340536349501,0.9027068158494156,0.0015585125555518887,0.9130499999999999,0.0006606424482611215,0.0888,0.001124037168226904
erm_softclip_p97_a10_cam,10,0.6678311601376794,0.0028771979039113995,1.362842908784976,0.06883593975036234,10.95924346446991,0.256238396297895,0.9047938724938047,0.0032136345914392833,0.9118,0.0009146666666666679,0.07579999999999999,0.0006232402782590717
erm_softclip_p99_a10_cam,10,0.8286670236506766,0.004363093727898181,0.8777443264180453,0.010568647075425715,7.5687071800231935,0.20691560198146025,0.900621761658031,0.0013005309331987948,0.9067000000000001,0.0017359498200632982,0.0369,0.0009557442707707492
