regime,n,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci,val_worst_domain_acc_mean,val_worst_domain_acc_ci,val_worst_domain_loss_mean,val_worst_domain_loss_ci,test_worst_domain_acc_mean,test_worst_domain_acc_ci,test_worst_domain_loss_mean,test_worst_domain_loss_ci,val_hosp_1_acc_mean,val_hosp_1_acc_ci,test_hosp_2_acc_mean,test_hosp_2_acc_ci,val_hosp_1_loss_mean,val_hosp_1_loss_ci,test_hosp_2_loss_mean,test_hosp_2_loss_ci
erm,10,0.9017476506990603,0.000671280095051805,0.2646715934592682,0.0015331636120378908,0.9110482752133938,0.0014493325293099526,0.2334541361020872,0.0020689640216346576,0.9017476506990603,0.000671280095051805,0.2646715934592682,0.0015331636120378908,0.9110482752133938,0.0014493325293099526,0.2334541361020872,0.0020689640216346576,0.9017476506990603,0.000671280095051805,0.9110482752133938,0.0014493325293099526,0.2646715934592682,0.0015331636120378908,0.2334541361020872,0.0020689640216346576
erm_softclip_p95_a10_cam,10,0.9072026128810451,0.0002284110170860983,0.3538142629389077,0.0012242224829172679,0.9204011569120795,0.0007464988117984045,0.2866714218214136,0.0011240471504959657,0.9072026128810451,0.0002284110170860983,0.3538142629389077,0.0012242224829172679,0.9204011569120795,0.0007464988117984045,0.2866714218214136,0.0011240471504959657,0.9072026128810451,0.0002284110170860983,0.9204011569120795,0.0007464988117984045,0.3538142629389077,0.0012242224829172679,0.2866714218214136,0.0011240471504959657
erm_softclip_p97_a10_cam,10,0.906575177630071,0.00044275891820011345,0.3430692901128851,0.001643352707470312,0.9189138664848213,0.0007042598317434023,0.2807569888212656,0.0010399923710870125,0.906575177630071,0.00044275891820011345,0.3430692901128851,0.001643352707470312,0.9189138664848213,0.0007042598317434023,0.2807569888212656,0.0010399923710870125,0.906575177630071,0.00044275891820011345,0.9189138664848213,0.0007042598317434023,0.3430692901128851,0.001643352707470312,0.2807569888212656,0.0010399923710870125
erm_softclip_p99_a10_cam,10,0.9039622965849187,0.00025531645431114145,0.3111024577872922,0.0011289497213627362,0.9155842170856161,0.0009519861160110487,0.2579433176332672,0.0014744281670400346,0.9039622965849187,0.00025531645431114145,0.3111024577872922,0.0011289497213627362,0.9155842170856161,0.0009519861160110487,0.2579433176332672,0.0014744281670400346,0.9039622965849187,0.00025531645431114145,0.9155842170856161,0.0009519861160110487,0.3111024577872922,0.0011289497213627362,0.2579433176332672,0.0014744281670400346
