objective,contrast,metric,mean,ci_low,ci_high,harm_count,n,harmful_direction
GCE q=0.7,proxy_best - val_loss_best,test_loss,0.01811499493466821,0.013574066503927536,0.02325084478339908,10,10,positive
GCE q=0.7,proxy_best - val_loss_best,test_acc,0.009770263597244066,0.007605726949937654,0.01177842899804827,0,10,negative
GCE q=0.7,proxy_best - val_loss_best,test_ece,0.012907150950535736,0.010460822140043294,0.01538036606447114,10,10,positive
GCE q=0.7,proxy_best - val_loss_best,test_brier,-0.004956974629262171,-0.006064254960310483,-0.0037961220233946203,0,10,positive
GCE q=0.7,proxy_best - val_loss_best,teacher_tail_cvar,3.0543922002122073,2.5069217736252067,3.593470381673506,10,10,positive
GCE q=0.7,val_acc_best - val_loss_best,test_loss,0.030681270956833807,0.020879397276164557,0.04100808876306678,10,10,positive
GCE q=0.7,val_acc_best - val_loss_best,test_acc,0.009308204199684889,0.00727302654784021,0.011384561572647962,0,10,negative
GCE q=0.7,val_acc_best - val_loss_best,test_ece,0.01562944843600789,0.012914229802103789,0.018248973198572747,10,10,positive
GCE q=0.7,val_acc_best - val_loss_best,test_brier,-0.003961516145821842,-0.005534865137629471,-0.002354812175470824,1,10,positive
GCE q=0.7,val_acc_best - val_loss_best,teacher_tail_cvar,3.767380015467039,3.2247701932456896,4.294211105259355,10,10,positive
GCE q=0.7,avg_last5 - val_loss_best,test_loss,0.05349110639102415,0.05207743198339237,0.05497127687939203,10,10,positive
GCE q=0.7,avg_last5 - val_loss_best,test_acc,0.0066687045876737015,0.004906206645190099,0.008278270275354448,0,10,negative
GCE q=0.7,avg_last5 - val_loss_best,test_ece,0.020404054789759523,0.01866735451459654,0.022284505270369525,10,10,positive
GCE q=0.7,avg_last5 - val_loss_best,test_brier,-0.001174704468552379,-0.0021448912721966197,-0.0001415179210721059,2,10,positive
GCE q=0.7,avg_last5 - val_loss_best,teacher_tail_cvar,4.961313798576159,4.680147261845311,5.224686910855571,10,10,positive
GCE q=0.7,avg_val_loss5 - val_loss_best,test_loss,-0.005043897815269921,-0.006491364525189534,-0.003307466404170547,1,10,positive
GCE q=0.7,avg_val_loss5 - val_loss_best,test_acc,0.0019458226538434209,0.0010299339243304278,0.0029416605920944195,1,10,negative
GCE q=0.7,avg_val_loss5 - val_loss_best,test_ece,-0.0016672424399771344,-0.002765522233789365,-0.0002615548954723536,2,10,positive
GCE q=0.7,avg_val_loss5 - val_loss_best,test_brier,-0.0015555788937867785,-0.002193203726735871,-0.0009240838310297248,1,10,positive
GCE q=0.7,avg_val_loss5 - val_loss_best,teacher_tail_cvar,0.05360070249906172,-0.05517596858734854,0.21651505095267445,4,10,positive
GCE q=0.7,val_acc_best - proxy_best,test_loss,0.012566276022165595,0.0026804197482632685,0.023633858114069956,5,10,positive
GCE q=0.7,val_acc_best - proxy_best,test_acc,-0.00046205939755917803,-0.001053448397488632,3.9974604369019674e-05,4,10,negative
GCE q=0.7,val_acc_best - proxy_best,test_ece,0.002722297485472152,0.0006127408870409988,0.005062234420094899,5,10,positive
GCE q=0.7,val_acc_best - proxy_best,test_brier,0.0009954584834403293,0.0002491787616374433,0.0018778156149988282,5,10,positive
GCE q=0.7,val_acc_best - proxy_best,teacher_tail_cvar,0.7129878152548313,0.14727773927707677,1.3288546663813254,5,10,positive
GCE q=0.7,avg_last5 - proxy_best,test_loss,0.03537611145635593,0.029952501242228317,0.0402273962372265,10,10,positive
GCE q=0.7,avg_last5 - proxy_best,test_acc,-0.0031015590095703647,-0.0037423284031321007,-0.0025066428386671612,10,10,negative
GCE q=0.7,avg_last5 - proxy_best,test_ece,0.007496903839223789,0.006285858468765965,0.0085888473049662,10,10,positive
GCE q=0.7,avg_last5 - proxy_best,test_brier,0.003782270160709792,0.0033406722353766234,0.004233266691904697,10,10,positive
GCE q=0.7,avg_last5 - proxy_best,teacher_tail_cvar,1.9069215983639516,1.5469398623852502,2.2304498995122257,10,10,positive
GCE q=0.7,avg_val_loss5 - proxy_best,test_loss,-0.023158892749938133,-0.028906131586078018,-0.017899944716491898,0,10,positive
GCE q=0.7,avg_val_loss5 - proxy_best,test_acc,-0.007824440943400646,-0.008953165048087106,-0.006477032238342677,10,10,negative
GCE q=0.7,avg_val_loss5 - proxy_best,test_ece,-0.014574393390512868,-0.017007251909683396,-0.01190065770995656,0,10,positive
GCE q=0.7,avg_val_loss5 - proxy_best,test_brier,0.0034013957354753926,0.0027413884057105094,0.004013999045235658,10,10,positive
GCE q=0.7,avg_val_loss5 - proxy_best,teacher_tail_cvar,-3.000791497713146,-3.4780152954308505,-2.5104271290986024,0,10,positive
SoftClip P95,proxy_best - val_loss_best,test_loss,0.02002469093872551,0.010713924562654544,0.029846349089793882,10,10,positive
SoftClip P95,proxy_best - val_loss_best,test_acc,0.0033590424906529857,0.0017965057492886681,0.004885131798622023,2,10,negative
SoftClip P95,proxy_best - val_loss_best,test_ece,0.006762815738360453,0.004659480450676171,0.009003721042629392,10,10,positive
SoftClip P95,proxy_best - val_loss_best,test_brier,-0.001139495910223872,-0.0023646541959071255,0.00018124339975595787,3,10,positive
SoftClip P95,proxy_best - val_loss_best,teacher_tail_cvar,2.009112000347594,1.4589449220667738,2.5921926795684316,10,10,positive
SoftClip P95,val_acc_best - val_loss_best,test_loss,0.023053076405461614,0.016755964580682948,0.02961043313921273,10,10,positive
SoftClip P95,val_acc_best - val_loss_best,test_acc,0.004946269428833461,0.003543631104945111,0.006340736473299337,0,10,negative
SoftClip P95,val_acc_best - val_loss_best,test_ece,0.007211179996680727,0.005936787847627265,0.00842786929103506,10,10,positive
SoftClip P95,val_acc_best - val_loss_best,test_brier,-0.001959389681452168,-0.003024706468514235,-0.0008986825784823044,2,10,positive
SoftClip P95,val_acc_best - val_loss_best,teacher_tail_cvar,2.3916794199447415,2.07897357335645,2.718305347882145,10,10,positive
SoftClip P95,avg_last5 - val_loss_best,test_loss,0.03710605653818509,0.036012400714839,0.038259199848780276,10,10,positive
SoftClip P95,avg_last5 - val_loss_best,test_acc,0.004127965762927066,0.0027911385707903003,0.005448303430761614,0,10,negative
SoftClip P95,avg_last5 - val_loss_best,test_ece,0.010092262114187766,0.009401360443857806,0.010796922646906038,10,10,positive
SoftClip P95,avg_last5 - val_loss_best,test_brier,-0.0008466645879460818,-0.0016693232132563491,-1.544654143668179e-05,3,10,positive
SoftClip P95,avg_last5 - val_loss_best,teacher_tail_cvar,3.23905975950296,3.0145900544099744,3.478211983752346,10,10,positive
SoftClip P95,avg_val_loss5 - val_loss_best,test_loss,-0.0014066098257462633,-0.0025305810800937407,-0.00011307142812289541,2,10,positive
SoftClip P95,avg_val_loss5 - val_loss_best,test_acc,0.00045030216098007614,5.99619065534851e-05,0.000823006560538031,2,10,negative
SoftClip P95,avg_val_loss5 - val_loss_best,test_ece,-0.0007101474265294439,-0.0011120118065870953,-0.0002592549750521615,1,10,positive
SoftClip P95,avg_val_loss5 - val_loss_best,test_brier,-0.00036357959300620105,-0.0006327279831193332,-9.429533274214192e-05,2,10,positive
SoftClip P95,avg_val_loss5 - val_loss_best,teacher_tail_cvar,-0.006669564790896842,-0.08335605224607004,0.07827428157591758,5,10,positive
SoftClip P95,val_acc_best - proxy_best,test_loss,0.0030283854667361053,-0.009952510667983444,0.015941749148395752,6,10,positive
SoftClip P95,val_acc_best - proxy_best,test_acc,0.0015872269381804749,0.00035271709737345615,0.002915794671620409,3,10,negative
SoftClip P95,val_acc_best - proxy_best,test_ece,0.0004483642583202732,-0.002262971362671106,0.0031322590799090747,6,10,positive
SoftClip P95,val_acc_best - proxy_best,test_brier,-0.0008198937712282958,-0.002237487127439779,0.00047515825606665133,4,10,positive
SoftClip P95,val_acc_best - proxy_best,teacher_tail_cvar,0.38256741959714785,-0.3710207372904079,1.1432434886932628,6,10,positive
SoftClip P95,avg_last5 - proxy_best,test_loss,0.01708136559945958,0.00743178944462422,0.026126647775645318,8,10,positive
SoftClip P95,avg_last5 - proxy_best,test_acc,0.0007689232722740802,-0.0001540491922778805,0.001676581936181698,5,10,negative
SoftClip P95,avg_last5 - proxy_best,test_ece,0.0033294463758273135,0.0012714937052375923,0.00525398402753941,8,10,positive
SoftClip P95,avg_last5 - proxy_best,test_brier,0.0002928313222777902,-0.0007311266347221309,0.0012233973541927712,6,10,positive
SoftClip P95,avg_last5 - proxy_best,teacher_tail_cvar,1.2299477591553667,0.6819000347258064,1.7593621828372665,9,10,positive
SoftClip P95,avg_val_loss5 - proxy_best,test_loss,-0.02143130076447177,-0.03141672950075489,-0.012068383391808619,0,10,positive
SoftClip P95,avg_val_loss5 - proxy_best,test_acc,-0.0029087403296729096,-0.004214969313612515,-0.0015848754908646123,8,10,negative
SoftClip P95,avg_val_loss5 - proxy_best,test_ece,-0.007472963164889898,-0.00985920896473877,-0.005240987073281162,0,10,positive
SoftClip P95,avg_val_loss5 - proxy_best,test_brier,0.0007759163172176709,-0.00040953274806356714,0.0018931212113838761,6,10,positive
SoftClip P95,avg_val_loss5 - proxy_best,teacher_tail_cvar,-2.0157815651384907,-2.639454657973202,-1.4250708270934553,0,10,positive
