suite,regime,level,frac_clipped_val_mean,selected_proxy_delta,selected_acc_delta,selected_loss_delta,selected_tail_delta,fixed_acc_delta,fixed_loss_delta,fixed_tail_delta
Camelyon17 ERM,erm_softclip_p95_a10_cam,95,0.0888,-0.2240612508203994,0.0009852564253296503,0.05531463038955359,5.501472663879395,0.009352881698685755,0.05321728571932638,5.434138011932373
Camelyon17 ERM,erm_softclip_p97_a10_cam,97,0.0757999999999999,-0.09803987121591484,-0.0008618054412491416,0.052388296202696694,5.155058956146241,0.007865591271427386,0.04730285271917839,4.733682632446286
Camelyon17 ERM,erm_softclip_p99_a10_cam,99,0.0369,0.06279599229708233,-0.0008571025466175275,0.008236402724953101,1.764522671699524,0.004535941872222171,0.024489181531180015,3.057685613632203
Camelyon17 finetune,rcgdro_softclip_p95_a10_cam_finetune,95,0.06825,-0.5850540447368872,0.025108754438356917,0.6185242155409868,6.226358604431152,0.0030169069062006004,0.4914648713356313,210.21020410060882
Camelyon17 finetune,rcgdro_softclip_p97_a10_cam_finetune,97,0.0601,-0.5082622555236022,-0.012947068920920679,0.7715539624841016,5.446348178386687,-0.04559809062477971,0.590991098017593,-46.38966587930918
Camelyon17 finetune,rcgdro_softclip_p99_a10_cam_finetune,99,0.0430999999999999,-0.33913306573004787,-0.005331906788628271,0.5508577501442699,5.698234516382216,0.02757307122533914,-0.2548404427066491,-48.30374907478689
